
Call:  glmnet(x = x, y = y, alpha = 0.01, family = "gaussian", standardize = TRUE) 

     Df    %Dev Lambda
1     0 0.00000 43.090
2     1 0.00038 39.260
3     1 0.00079 35.780
4     2 0.00124 32.600
5     4 0.00219 29.700
6     8 0.00389 27.060
7    11 0.00630 24.660
8    30 0.01002 22.470
9    50 0.01595 20.470
10   69 0.02349 18.650
11   88 0.03249 17.000
12  110 0.04263 15.490
13  131 0.05364 14.110
14  142 0.06485 12.860
15  156 0.07620 11.720
16  162 0.08769 10.670
17  168 0.09922  9.726
18  177 0.11070  8.862
19  180 0.12210  8.075
20  182 0.13320  7.357
21  184 0.14420  6.704
22  186 0.15500  6.108
23  189 0.16550  5.566
24  190 0.17590  5.071
25  192 0.18600  4.621
26  194 0.19590  4.210
27  196 0.20560  3.836
28  196 0.21500  3.495
29  195 0.22420  3.185
30  195 0.23310  2.902
31  195 0.24170  2.644
32  196 0.25000  2.409
33  196 0.25800  2.195
34  196 0.26560  2.000
35  196 0.27290  1.822
36  195 0.27990  1.661
37  193 0.28640  1.513
38  193 0.29260  1.379
39  190 0.29830  1.256
40  192 0.30380  1.145
41  192 0.30900  1.043
42  193 0.31370  0.950
43  192 0.31820  0.866
44  189 0.32250  0.789
45  187 0.32640  0.719
46  186 0.33000  0.655
47  183 0.33330  0.597
48  180 0.33640  0.544
49  178 0.33920  0.496
50  178 0.34170  0.451
51  175 0.34400  0.411
52  173 0.34600  0.375
53  174 0.34790  0.342
54  175 0.34960  0.311
55  177 0.35110  0.284
56  174 0.35260  0.258
57  175 0.35380  0.235
58  174 0.35500  0.214
59  175 0.35600  0.195
60  177 0.35690  0.178
61  177 0.35770  0.162
62  179 0.35840  0.148
63  180 0.35900  0.135
64  182 0.35960  0.123
65  181 0.36010  0.112
66  181 0.36050  0.102
67  181 0.36090  0.093
68  180 0.36130  0.085
69  183 0.36160  0.077
70  184 0.36180  0.070
71  186 0.36210  0.064
72  183 0.36230  0.058
73  187 0.36250  0.053
74  186 0.36260  0.048
75  185 0.36270  0.044
76  186 0.36290  0.040
77  190 0.36300  0.037
78  191 0.36310  0.033
79  193 0.36320  0.030
80  194 0.36320  0.028
81  194 0.36330  0.025
82  194 0.36330  0.023
83  193 0.36340  0.021
84  193 0.36340  0.019
85  196 0.36350  0.017
86  198 0.36350  0.016
87  200 0.36360  0.014
88  202 0.36360  0.013
89  202 0.36360  0.012
90  202 0.36360  0.011
91  203 0.36370  0.010
92  204 0.36370  0.009
93  205 0.36370  0.008
94  204 0.36380  0.008
95  206 0.36380  0.007
96  206 0.36380  0.006
97  207 0.36380  0.006
98  207 0.36390  0.005
99  207 0.36390  0.005
100 204 0.36390  0.004
