
Call:  glmnet(x = x, y = y, alpha = 0.04, family = "gaussian", standardize = FALSE) 

    Df     %Dev  Lambda
1    0 0.000000 31.0800
2    1 0.001357 28.3200
3    1 0.002574 25.8100
4    1 0.003660 23.5100
5    1 0.004623 21.4200
6    2 0.005490 19.5200
7    3 0.007097 17.7900
8    3 0.008656 16.2100
9    4 0.010120 14.7700
10   4 0.011440 13.4500
11   4 0.012580 12.2600
12   5 0.013880 11.1700
13   5 0.015070 10.1800
14   6 0.016170  9.2740
15   6 0.017230  8.4500
16   6 0.018140  7.6990
17   6 0.018930  7.0150
18   7 0.019620  6.3920
19   7 0.020230  5.8240
20   8 0.020890  5.3070
21   8 0.021600  4.8350
22   8 0.022230  4.4060
23   8 0.022790  4.0140
24   8 0.023290  3.6580
25   8 0.023740  3.3330
26  10 0.024790  3.0370
27  12 0.026470  2.7670
28  12 0.028430  2.5210
29  13 0.030670  2.2970
30  15 0.033140  2.0930
31  15 0.035820  1.9070
32  17 0.038720  1.7380
33  19 0.042020  1.5830
34  19 0.045520  1.4430
35  20 0.049330  1.3150
36  20 0.053260  1.1980
37  23 0.057460  1.0910
38  24 0.061850  0.9944
39  30 0.066670  0.9061
40  31 0.071780  0.8256
41  31 0.076970  0.7522
42  32 0.082180  0.6854
43  35 0.087590  0.6245
44  37 0.093150  0.5690
45  38 0.098740  0.5185
46  41 0.104400  0.4724
47  44 0.110100  0.4305
48  44 0.115900  0.3922
49  45 0.121600  0.3574
50  46 0.127200  0.3256
51  47 0.132800  0.2967
52  48 0.138300  0.2703
53  49 0.143600  0.2463
54  49 0.148900  0.2244
55  49 0.153900  0.2045
56  49 0.158900  0.1863
57  49 0.163600  0.1698
58  49 0.168200  0.1547
59  50 0.172500  0.1410
60  51 0.176600  0.1284
61  52 0.180600  0.1170
62  53 0.184400  0.1066
63  52 0.187900  0.0972
64  52 0.191300  0.0885
65  53 0.194500  0.0807
66  53 0.197400  0.0735
67  54 0.200200  0.0670
68  55 0.202900  0.0610
69  55 0.205400  0.0556
70  55 0.207800  0.0507
71  55 0.210000  0.0462
72  55 0.212000  0.0421
73  54 0.213900  0.0383
74  55 0.215700  0.0349
75  54 0.217300  0.0318
76  54 0.218800  0.0290
77  54 0.220300  0.0264
78  54 0.221600  0.0241
79  54 0.222800  0.0219
80  54 0.223900  0.0200
81  53 0.224900  0.0182
82  53 0.225800  0.0166
83  53 0.226600  0.0151
84  54 0.227400  0.0138
85  56 0.228100  0.0126
86  56 0.228800  0.0114
87  56 0.229400  0.0104
88  56 0.230000  0.0095
89  56 0.230500  0.0086
90  56 0.231000  0.0079
91  57 0.231400  0.0072
92  57 0.231800  0.0065
93  57 0.232100  0.0060
94  57 0.232400  0.0054
95  56 0.232700  0.0049
96  57 0.232900  0.0045
97  58 0.233100  0.0041
98  58 0.233300  0.0037
99  58 0.233500  0.0034
100 58 0.233600  0.0031
