
Call:  glmnet(x = x, y = y, alpha = 0.6, family = "gaussian", standardize = TRUE) 

   Df    %Dev  Lambda
1   0 0.00000 0.74980
2   2 0.01162 0.68320
3   4 0.02537 0.62250
4   7 0.04237 0.56720
5   9 0.05792 0.51680
6  11 0.07121 0.47090
7  11 0.08253 0.42910
8  12 0.09244 0.39100
9  16 0.10350 0.35620
10 19 0.11780 0.32460
11 20 0.13080 0.29580
12 24 0.14220 0.26950
13 27 0.15260 0.24550
14 29 0.16190 0.22370
15 33 0.17030 0.20390
16 34 0.17790 0.18570
17 36 0.18430 0.16920
18 37 0.18980 0.15420
19 36 0.19440 0.14050
20 37 0.19830 0.12800
21 38 0.20150 0.11670
22 40 0.20420 0.10630
23 41 0.20650 0.09685
24 42 0.20840 0.08824
25 43 0.21000 0.08040
26 43 0.21140 0.07326
27 42 0.21250 0.06675
28 42 0.21360 0.06082
29 44 0.21470 0.05542
30 44 0.21570 0.05050
31 43 0.21640 0.04601
32 45 0.21710 0.04192
33 45 0.21760 0.03820
34 46 0.21810 0.03480
35 48 0.21850 0.03171
36 48 0.21880 0.02890
37 48 0.21900 0.02633
38 49 0.21930 0.02399
39 49 0.21950 0.02186
40 48 0.21960 0.01992
41 48 0.21970 0.01815
42 50 0.21980 0.01654
43 49 0.21990 0.01507
44 49 0.22000 0.01373
45 48 0.22010 0.01251
46 49 0.22010 0.01140
47 49 0.22020 0.01038
48 48 0.22020 0.00946
49 49 0.22030 0.00862
50 49 0.22030 0.00785
51 48 0.22030 0.00716
52 48 0.22030 0.00652
53 49 0.22030 0.00594
54 50 0.22030 0.00541
55 51 0.22040 0.00493
56 51 0.22040 0.00450
57 51 0.22040 0.00410
58 51 0.22040 0.00373
59 52 0.22040 0.00340
60 52 0.22040 0.00310
61 52 0.22040 0.00282
62 52 0.22040 0.00257
63 53 0.22040 0.00234
64 53 0.22040 0.00214
65 53 0.22040 0.00195
66 52 0.22040 0.00177
67 54 0.22040 0.00162
68 55 0.22040 0.00147
69 55 0.22040 0.00134
70 54 0.22040 0.00122
71 54 0.22040 0.00111
72 54 0.22040 0.00102
73 54 0.22050 0.00092
