
Call:  glmnet(x = x, y = y, alpha = 0.9, family = "gaussian", standardize = FALSE) 

    Df     %Dev  Lambda
1    0 0.000000 11.8200
2    1 0.003814 10.7700
3    1 0.006980  9.8170
4    2 0.010540  8.9450
5    2 0.015500  8.1500
6    2 0.019620  7.4260
7    2 0.023050  6.7670
8    2 0.025890  6.1660
9    2 0.028250  5.6180
10   2 0.030210  5.1190
11   2 0.031830  4.6640
12   2 0.033180  4.2500
13   2 0.034310  3.8720
14   2 0.035240  3.5280
15   2 0.036010  3.2150
16   3 0.038680  2.9290
17   3 0.041030  2.6690
18   3 0.042990  2.4320
19   3 0.044610  2.2160
20   4 0.046400  2.0190
21   5 0.049650  1.8400
22   4 0.052310  1.6760
23   4 0.053820  1.5270
24   4 0.055090  1.3920
25   4 0.056140  1.2680
26   5 0.057060  1.1550
27   6 0.058260  1.0530
28   6 0.059330  0.9592
29   6 0.060200  0.8740
30   7 0.061030  0.7963
31   7 0.061820  0.7256
32   7 0.062480  0.6611
33   7 0.063020  0.6024
34   7 0.063470  0.5489
35   7 0.063840  0.5001
36   7 0.064150  0.4557
37   7 0.064410  0.4152
38   7 0.064620  0.3783
39   8 0.064800  0.3447
40   8 0.064960  0.3141
41   9 0.065100  0.2862
42  11 0.065970  0.2608
43  11 0.067350  0.2376
44  12 0.068810  0.2165
45  14 0.070150  0.1973
46  18 0.082050  0.1797
47  17 0.093100  0.1638
48  19 0.102400  0.1492
49  19 0.110500  0.1360
50  19 0.117200  0.1239
51  20 0.122800  0.1129
52  22 0.131400  0.1028
53  22 0.139400  0.0937
54  23 0.146100  0.0854
55  25 0.151700  0.0778
56  28 0.156700  0.0709
57  27 0.162700  0.0646
58  27 0.167600  0.0588
59  29 0.172400  0.0536
60  29 0.176800  0.0489
61  29 0.180400  0.0445
62  30 0.183500  0.0406
63  30 0.186100  0.0370
64  31 0.188300  0.0337
65  33 0.190600  0.0307
66  34 0.194700  0.0280
67  35 0.198200  0.0255
68  35 0.201300  0.0232
69  35 0.203900  0.0212
70  34 0.206000  0.0193
71  34 0.207800  0.0176
72  36 0.209400  0.0160
73  37 0.210800  0.0146
74  37 0.212000  0.0133
75  38 0.212900  0.0121
76  39 0.213800  0.0110
77  40 0.214500  0.0100
78  41 0.215200  0.0092
79  41 0.216100  0.0083
80  41 0.216800  0.0076
81  43 0.217400  0.0069
82  46 0.217900  0.0063
83  45 0.218300  0.0058
84  45 0.218600  0.0052
85  45 0.218900  0.0048
86  44 0.219200  0.0044
87  44 0.219400  0.0040
88  45 0.219600  0.0036
89  45 0.219700  0.0033
90  45 0.219800  0.0030
91  45 0.219900  0.0027
92  45 0.220000  0.0025
93  47 0.220100  0.0023
94  48 0.220100  0.0021
95  48 0.220200  0.0019
96  48 0.220200  0.0017
97  49 0.220300  0.0016
98  49 0.220300  0.0014
99  51 0.220300  0.0013
100 51 0.220300  0.0012
