
Call:  glmnet(x = x, y = y, alpha = 0.04, family = "gaussian", standardize = FALSE) 

     Df     %Dev  Lambda
1     0 0.000000 177.100
2     1 0.004862 161.400
3     1 0.009108 147.100
4     1 0.012800 134.000
5     1 0.016000 122.100
6     1 0.018770 111.200
7     1 0.021150 101.400
8     1 0.023200  92.360
9     1 0.024950  84.150
10    1 0.026450  76.680
11    1 0.027730  69.860
12    1 0.028820  63.660
13    2 0.029790  58.000
14    2 0.030690  52.850
15    2 0.031460  48.150
16    5 0.032730  43.880
17    6 0.036930  39.980
18    6 0.040940  36.430
19    6 0.044480  33.190
20    6 0.047590  30.240
21    7 0.050320  27.560
22    8 0.053130  25.110
23    8 0.055560  22.880
24    9 0.057680  20.840
25    9 0.059560  18.990
26   11 0.061810  17.310
27   11 0.064160  15.770
28   12 0.066390  14.370
29   12 0.068470  13.090
30   12 0.070350  11.930
31   12 0.072030  10.870
32   12 0.073560   9.903
33   14 0.074980   9.023
34   15 0.076580   8.222
35   16 0.078060   7.491
36   16 0.079620   6.826
37   16 0.080970   6.219
38   17 0.082170   5.667
39   17 0.083360   5.163
40   18 0.084660   4.705
41   17 0.086280   4.287
42   17 0.087850   3.906
43   19 0.089470   3.559
44   22 0.091510   3.243
45   23 0.093790   2.955
46   24 0.096590   2.692
47   27 0.099610   2.453
48   29 0.103200   2.235
49   29 0.107100   2.037
50   29 0.111000   1.856
51   33 0.115400   1.691
52   34 0.120200   1.541
53   36 0.125100   1.404
54   39 0.130400   1.279
55   40 0.135900   1.165
56   40 0.141300   1.062
57   43 0.146900   0.968
58   47 0.152700   0.882
59   47 0.158500   0.803
60   49 0.164500   0.732
61   48 0.170100   0.667
62   50 0.175800   0.608
63   55 0.181500   0.554
64   58 0.187400   0.504
65   60 0.193100   0.460
66   62 0.198700   0.419
67   65 0.204200   0.382
68   66 0.209500   0.348
69   67 0.214600   0.317
70   70 0.219600   0.289
71   70 0.224400   0.263
72   72 0.229100   0.240
73   73 0.233500   0.218
74   74 0.237900   0.199
75   77 0.242000   0.181
76   79 0.246000   0.165
77   78 0.249800   0.150
78   78 0.253500   0.137
79   80 0.257000   0.125
80   80 0.260300   0.114
81   83 0.263600   0.104
82   88 0.266700   0.095
83   88 0.269700   0.086
84   89 0.272500   0.078
85   91 0.275300   0.072
86   92 0.278000   0.065
87   95 0.280700   0.059
88   94 0.283200   0.054
89   97 0.285600   0.049
90   97 0.288000   0.045
91   97 0.290200   0.041
92   97 0.292300   0.037
93   98 0.294300   0.034
94   98 0.296200   0.031
95   99 0.298000   0.028
96   99 0.299700   0.026
97  100 0.301300   0.023
98  100 0.302800   0.021
99  103 0.304200   0.019
100 103 0.305500   0.018
