
Call:  glmnet(x = x, y = y, alpha = 0.75, family = "gaussian", standardize = FALSE) 

    Df    %Dev Lambda
1    0 0.00000 9.4470
2    1 0.00587 8.6080
3    1 0.01074 7.8430
4    1 0.01480 7.1460
5    1 0.01816 6.5110
6    1 0.02096 5.9330
7    1 0.02328 5.4060
8    1 0.02521 4.9260
9    1 0.02681 4.4880
10   1 0.02814 4.0890
11   1 0.02925 3.7260
12   1 0.03017 3.3950
13   1 0.03093 3.0930
14   1 0.03156 2.8190
15   1 0.03209 2.5680
16   3 0.03266 2.3400
17   5 0.03807 2.1320
18   5 0.04292 1.9430
19   5 0.04694 1.7700
20   5 0.05029 1.6130
21   5 0.05306 1.4700
22   5 0.05537 1.3390
23   5 0.05729 1.2200
24   6 0.05889 1.1120
25   7 0.06080 1.0130
26   8 0.06306 0.9230
27   8 0.06653 0.8410
28   8 0.06943 0.7663
29   8 0.07165 0.6982
30   8 0.07357 0.6362
31   8 0.07518 0.5797
32   8 0.07650 0.5282
33   8 0.07761 0.4812
34   9 0.07869 0.4385
35   9 0.07976 0.3995
36  11 0.08074 0.3640
37  12 0.08207 0.3317
38  13 0.08334 0.3022
39  15 0.08472 0.2754
40  16 0.08884 0.2509
41  17 0.09734 0.2286
42  17 0.10470 0.2083
43  18 0.11150 0.1898
44  18 0.12010 0.1729
45  16 0.12730 0.1576
46  18 0.13350 0.1436
47  19 0.14030 0.1308
48  22 0.14650 0.1192
49  24 0.15480 0.1086
50  25 0.16380 0.0990
51  28 0.17290 0.0902
52  28 0.18110 0.0822
53  29 0.18840 0.0749
54  30 0.19450 0.0682
55  31 0.19980 0.0622
56  34 0.20550 0.0566
57  35 0.21100 0.0516
58  37 0.21710 0.0470
59  39 0.22310 0.0428
60  41 0.22840 0.0390
61  42 0.23390 0.0356
62  42 0.23950 0.0324
63  43 0.24480 0.0295
64  46 0.25080 0.0269
65  49 0.25690 0.0245
66  50 0.26290 0.0223
67  53 0.26830 0.0204
68  55 0.27320 0.0185
69  57 0.27740 0.0169
70  58 0.28190 0.0154
71  59 0.28620 0.0140
72  60 0.29020 0.0128
73  61 0.29370 0.0116
74  64 0.29670 0.0106
75  68 0.29940 0.0097
76  70 0.30190 0.0088
77  70 0.30410 0.0080
78  71 0.30590 0.0073
79  71 0.30760 0.0067
80  72 0.30890 0.0061
81  72 0.31010 0.0055
82  74 0.31100 0.0050
83  73 0.31180 0.0046
84  77 0.31250 0.0042
85  79 0.31320 0.0038
86  83 0.31370 0.0035
87  83 0.31420 0.0032
88  85 0.31460 0.0029
89  85 0.31500 0.0026
90  84 0.31530 0.0024
91  86 0.31560 0.0022
92  86 0.31580 0.0020
93  87 0.31600 0.0018
94  88 0.31620 0.0017
95  89 0.31640 0.0015
96  90 0.31660 0.0014
97  90 0.31670 0.0012
98  91 0.31680 0.0011
99  91 0.31690 0.0010
100 91 0.31700 0.0009
