
Call:  glmnet(x = x, y = y, alpha = 0.9, family = "gaussian", standardize = TRUE) 

    Df    %Dev  Lambda
1    0 0.00000 0.54100
2    1 0.00925 0.49290
3    2 0.02420 0.44910
4    2 0.03703 0.40920
5    3 0.05056 0.37290
6    3 0.06286 0.33970
7    5 0.07750 0.30960
8    6 0.09003 0.28210
9    9 0.10150 0.25700
10  13 0.11310 0.23420
11  18 0.12750 0.21340
12  22 0.14310 0.19440
13  25 0.16020 0.17710
14  27 0.17540 0.16140
15  34 0.19120 0.14710
16  37 0.20750 0.13400
17  41 0.22190 0.12210
18  48 0.23530 0.11120
19  52 0.24780 0.10140
20  53 0.25830 0.09236
21  54 0.26740 0.08416
22  54 0.27490 0.07668
23  56 0.28120 0.06987
24  55 0.28640 0.06366
25  59 0.29080 0.05801
26  59 0.29440 0.05285
27  60 0.29740 0.04816
28  60 0.30010 0.04388
29  61 0.30230 0.03998
30  64 0.30410 0.03643
31  65 0.30580 0.03319
32  67 0.30720 0.03024
33  67 0.30840 0.02756
34  67 0.30940 0.02511
35  67 0.31030 0.02288
36  66 0.31110 0.02085
37  67 0.31170 0.01899
38  70 0.31230 0.01731
39  70 0.31280 0.01577
40  70 0.31330 0.01437
41  70 0.31370 0.01309
42  70 0.31400 0.01193
43  69 0.31420 0.01087
44  71 0.31440 0.00990
45  71 0.31470 0.00902
46  75 0.31490 0.00822
47  76 0.31520 0.00749
48  74 0.31540 0.00683
49  74 0.31560 0.00622
50  72 0.31580 0.00567
51  73 0.31600 0.00516
52  75 0.31610 0.00470
53  74 0.31620 0.00429
54  75 0.31630 0.00391
55  74 0.31640 0.00356
56  77 0.31650 0.00324
57  78 0.31650 0.00296
58  78 0.31660 0.00269
59  79 0.31670 0.00245
60  80 0.31670 0.00224
61  81 0.31680 0.00204
62  81 0.31690 0.00186
63  84 0.31700 0.00169
64  85 0.31700 0.00154
65  85 0.31710 0.00140
66  85 0.31710 0.00128
67  88 0.31710 0.00116
68  86 0.31720 0.00106
69  89 0.31720 0.00097
70  91 0.31720 0.00088
71  91 0.31730 0.00080
72  93 0.31730 0.00073
73  94 0.31740 0.00067
74  95 0.31740 0.00061
75  97 0.31740 0.00055
76  97 0.31750 0.00050
77 100 0.31750 0.00046
78 102 0.31750 0.00042
79 102 0.31750 0.00038
80 105 0.31750 0.00035
81 105 0.31750 0.00032
82 104 0.31760 0.00029
83 105 0.31760 0.00026
