
Call:  glmnet(x = x, y = y, alpha = 0.3, family = "gaussian", standardize = FALSE) 

    Df     %Dev Lambda
1    0 0.000000 37.700
2    1 0.002108 34.350
3    1 0.003861 31.300
4    1 0.005318 28.520
5    1 0.006530 25.980
6    1 0.007536 23.680
7    1 0.008372 21.570
8    1 0.009067 19.660
9    1 0.009645 17.910
10   1 0.010120 16.320
11   1 0.010520 14.870
12   1 0.010850 13.550
13   2 0.011320 12.340
14   2 0.012070 11.250
15   2 0.012700 10.250
16   2 0.013220  9.338
17   3 0.015110  8.509
18   3 0.016850  7.753
19   4 0.018640  7.064
20   5 0.020910  6.436
21   5 0.022900  5.865
22   5 0.024560  5.344
23   5 0.025950  4.869
24   5 0.027090  4.436
25   5 0.028050  4.042
26   5 0.028850  3.683
27   7 0.029700  3.356
28  10 0.030760  3.058
29  10 0.031890  2.786
30  11 0.033800  2.539
31  11 0.035710  2.313
32  11 0.037340  2.108
33  12 0.038920  1.920
34  12 0.040430  1.750
35  12 0.041730  1.594
36  12 0.042950  1.453
37  11 0.043910  1.324
38  11 0.044630  1.206
39  11 0.045230  1.099
40  11 0.045730  1.001
41  11 0.046150  0.912
42  11 0.046500  0.831
43  11 0.046790  0.757
44  11 0.047030  0.690
45  13 0.050620  0.629
46  13 0.055250  0.573
47  14 0.060070  0.522
48  15 0.066830  0.476
49  16 0.073740  0.433
50  17 0.081430  0.395
51  18 0.088780  0.360
52  19 0.096860  0.328
53  21 0.105300  0.299
54  22 0.113400  0.272
55  24 0.120800  0.248
56  26 0.127400  0.226
57  27 0.133300  0.206
58  29 0.138700  0.188
59  29 0.145400  0.171
60  32 0.151800  0.156
61  35 0.158500  0.142
62  37 0.164600  0.129
63  38 0.170200  0.118
64  40 0.175200  0.107
65  42 0.180100  0.098
66  45 0.185800  0.089
67  45 0.192400  0.081
68  47 0.198700  0.074
69  48 0.204500  0.067
70  52 0.210500  0.061
71  54 0.216300  0.056
72  55 0.221700  0.051
73  55 0.227200  0.046
74  57 0.232800  0.042
75  58 0.238500  0.039
76  60 0.244000  0.035
77  63 0.249400  0.032
78  63 0.254500  0.029
79  63 0.259300  0.027
80  65 0.263800  0.024
81  64 0.267900  0.022
82  65 0.271700  0.020
83  66 0.275300  0.018
84  65 0.278600  0.017
85  66 0.281500  0.015
86  67 0.284300  0.014
87  68 0.286800  0.013
88  69 0.289100  0.012
89  69 0.291100  0.010
90  69 0.292900  0.010
91  70 0.294500  0.009
92  70 0.296000  0.008
93  71 0.297300  0.007
94  72 0.298400  0.007
95  72 0.299400  0.006
96  73 0.300200  0.005
97  73 0.300900  0.005
98  73 0.301600  0.005
99  73 0.302100  0.004
100 73 0.302600  0.004
