
Call:  glmnet(x = x, y = y, alpha = 0.6, family = "gaussian", standardize = TRUE) 

   Df     %Dev  Lambda
1   0 0.000000 0.83630
2   1 0.008611 0.76200
3   1 0.016020 0.69430
4   1 0.022370 0.63260
5   1 0.027810 0.57640
6   2 0.034030 0.52520
7   3 0.042380 0.47860
8   6 0.053600 0.43610
9   7 0.064770 0.39730
10 10 0.076740 0.36200
11 12 0.091200 0.32990
12 15 0.106400 0.30060
13 20 0.122400 0.27390
14 25 0.139400 0.24950
15 32 0.157100 0.22740
16 37 0.175100 0.20720
17 42 0.191700 0.18880
18 42 0.206600 0.17200
19 44 0.219300 0.15670
20 51 0.230900 0.14280
21 58 0.242100 0.13010
22 58 0.251900 0.11850
23 58 0.260200 0.10800
24 59 0.267100 0.09842
25 63 0.273000 0.08968
26 62 0.278000 0.08171
27 60 0.282100 0.07445
28 61 0.285600 0.06784
29 61 0.288400 0.06181
30 62 0.290800 0.05632
31 62 0.292900 0.05132
32 64 0.294500 0.04676
33 64 0.296000 0.04260
34 61 0.297200 0.03882
35 61 0.298200 0.03537
36 62 0.299100 0.03223
37 66 0.300100 0.02936
38 68 0.300900 0.02676
39 67 0.301600 0.02438
40 67 0.302200 0.02221
41 67 0.302700 0.02024
42 67 0.303100 0.01844
43 68 0.303500 0.01680
44 69 0.303800 0.01531
45 68 0.304000 0.01395
46 68 0.304200 0.01271
47 68 0.304400 0.01158
48 69 0.304600 0.01055
49 69 0.304700 0.00962
50 68 0.304800 0.00876
51 69 0.304900 0.00798
52 70 0.304900 0.00727
53 69 0.305000 0.00663
54 69 0.305000 0.00604
55 69 0.305100 0.00550
56 69 0.305100 0.00501
57 71 0.305100 0.00457
58 71 0.305200 0.00416
59 72 0.305200 0.00379
60 73 0.305200 0.00346
61 74 0.305300 0.00315
62 74 0.305300 0.00287
63 76 0.305300 0.00261
64 76 0.305300 0.00238
65 78 0.305400 0.00217
66 78 0.305400 0.00198
67 74 0.305400 0.00180
68 76 0.305400 0.00164
69 77 0.305400 0.00150
70 78 0.305400 0.00136
71 78 0.305500 0.00124
72 78 0.305500 0.00113
73 79 0.305500 0.00103
74 78 0.305500 0.00094
75 80 0.305500 0.00086
76 82 0.305500 0.00078
77 84 0.305500 0.00071
78 85 0.305500 0.00065
79 86 0.305500 0.00059
