
Call:  glmnet(x = x, y = y, alpha = 1, family = "gaussian", standardize = FALSE) 

    Df     %Dev  Lambda
1    0 0.000000 11.3100
2    1 0.002118 10.3000
3    1 0.003877  9.3890
4    1 0.005337  8.5550
5    1 0.006549  7.7950
6    1 0.007556  7.1030
7    1 0.008391  6.4720
8    1 0.009085  5.8970
9    1 0.009661  5.3730
10   1 0.010140  4.8960
11   1 0.010540  4.4610
12   1 0.010870  4.0640
13   2 0.011320  3.7030
14   2 0.012080  3.3740
15   2 0.012710  3.0750
16   2 0.013230  2.8010
17   3 0.015150  2.5530
18   3 0.016890  2.3260
19   4 0.018690  2.1190
20   5 0.020960  1.9310
21   5 0.022960  1.7590
22   5 0.024630  1.6030
23   5 0.026010  1.4610
24   5 0.027150  1.3310
25   5 0.028100  1.2130
26   5 0.028890  1.1050
27   7 0.029730  1.0070
28   9 0.030780  0.9174
29  10 0.031900  0.8359
30  11 0.033920  0.7616
31  11 0.035890  0.6939
32  11 0.037550  0.6323
33  12 0.039140  0.5761
34  11 0.040660  0.5249
35  12 0.041940  0.4783
36  12 0.043150  0.4358
37  11 0.044060  0.3971
38  11 0.044770  0.3618
39  11 0.045350  0.3297
40  11 0.045840  0.3004
41  11 0.046240  0.2737
42  11 0.046580  0.2494
43  11 0.046860  0.2272
44  11 0.047090  0.2070
45  13 0.054910  0.1887
46  13 0.063730  0.1719
47  14 0.071980  0.1566
48  16 0.082270  0.1427
49  16 0.091450  0.1300
50  17 0.099340  0.1185
51  18 0.107500  0.1080
52  18 0.116800  0.0984
53  19 0.124600  0.0896
54  20 0.132100  0.0817
55  22 0.138600  0.0744
56  23 0.144100  0.0678
57  26 0.148700  0.0618
58  27 0.153700  0.0563
59  28 0.160400  0.0513
60  32 0.167600  0.0467
61  33 0.173900  0.0426
62  34 0.179200  0.0388
63  38 0.183900  0.0354
64  39 0.188000  0.0322
65  42 0.192200  0.0294
66  43 0.200000  0.0267
67  43 0.209000  0.0244
68  43 0.217000  0.0222
69  47 0.223900  0.0202
70  48 0.231200  0.0184
71  49 0.237900  0.0168
72  53 0.243500  0.0153
73  52 0.250400  0.0139
74  53 0.257500  0.0127
75  55 0.264300  0.0116
76  58 0.270200  0.0106
77  60 0.275700  0.0096
78  63 0.280300  0.0088
79  61 0.284100  0.0080
80  64 0.287300  0.0073
81  61 0.289900  0.0066
82  63 0.292200  0.0060
83  64 0.294200  0.0055
84  63 0.296000  0.0050
85  65 0.297300  0.0046
86  65 0.298500  0.0042
87  66 0.299600  0.0038
88  66 0.300500  0.0035
89  67 0.301300  0.0031
90  67 0.301900  0.0029
91  68 0.302500  0.0026
92  69 0.303000  0.0024
93  70 0.303300  0.0022
94  71 0.303700  0.0020
95  72 0.304000  0.0018
96  73 0.304200  0.0016
97  73 0.304400  0.0015
98  73 0.304600  0.0014
99  73 0.304700  0.0012
100 74 0.304900  0.0011
