
Call:  glmnet(x = x, y = y, alpha = 0.5, family = "gaussian", standardize = FALSE) 

    Df    %Dev  Lambda
1    0 0.00000 11.8200
2    1 0.01542 10.7700
3    2 0.03379  9.8170
4    2 0.05032  8.9450
5    2 0.06412  8.1500
6    2 0.07564  7.4260
7    2 0.08525  6.7660
8    2 0.09326  6.1650
9    3 0.09998  5.6180
10   3 0.10610  5.1190
11   3 0.11120  4.6640
12   3 0.11540  4.2490
13   3 0.11890  3.8720
14   3 0.12180  3.5280
15   3 0.12430  3.2150
16   4 0.12670  2.9290
17   4 0.12890  2.6690
18   4 0.13070  2.4320
19   4 0.13230  2.2160
20   4 0.13350  2.0190
21   4 0.13460  1.8400
22   4 0.13550  1.6760
23   4 0.13620  1.5270
24   4 0.13680  1.3920
25   4 0.13730  1.2680
26   4 0.13770  1.1550
27   4 0.13810  1.0530
28   4 0.13840  0.9591
29   4 0.13860  0.8739
30   4 0.13880  0.7963
31   4 0.13900  0.7255
32   5 0.13920  0.6611
33   5 0.14050  0.6024
34   6 0.14190  0.5488
35   7 0.14380  0.5001
36   8 0.14810  0.4557
37   8 0.15550  0.4152
38   8 0.16220  0.3783
39   9 0.17380  0.3447
40   9 0.18450  0.3141
41   9 0.19410  0.2862
42  10 0.20390  0.2607
43  10 0.21290  0.2376
44  10 0.22080  0.2165
45  10 0.22770  0.1972
46  10 0.23370  0.1797
47  10 0.23890  0.1638
48  10 0.24340  0.1492
49  10 0.24740  0.1360
50  10 0.25070  0.1239
51  10 0.25360  0.1129
52  10 0.25610  0.1028
53  10 0.25820  0.0937
54  10 0.26000  0.0854
55  10 0.26150  0.0778
56  10 0.26280  0.0709
57  11 0.26390  0.0646
58  11 0.26510  0.0588
59  11 0.26610  0.0536
60  12 0.26690  0.0489
61  12 0.26770  0.0445
62  12 0.26840  0.0406
63  12 0.26900  0.0370
64  12 0.26950  0.0337
65  13 0.26990  0.0307
66  14 0.27030  0.0280
67  13 0.27050  0.0255
68  13 0.27070  0.0232
69  14 0.27100  0.0212
70  14 0.27130  0.0193
71  14 0.27160  0.0176
72  13 0.27180  0.0160
73  13 0.27210  0.0146
74  13 0.27230  0.0133
75  13 0.27250  0.0121
76  12 0.27260  0.0110
77  12 0.27270  0.0100
78  13 0.27270  0.0092
79  13 0.27280  0.0083
80  13 0.27290  0.0076
81  13 0.27300  0.0069
82  13 0.27310  0.0063
83  13 0.27320  0.0058
84  13 0.27320  0.0052
85  13 0.27330  0.0048
86  13 0.27330  0.0043
87  13 0.27340  0.0040
88  15 0.27340  0.0036
89  16 0.27340  0.0033
90  16 0.27350  0.0030
91  16 0.27350  0.0027
92  16 0.27350  0.0025
93  17 0.27350  0.0023
94  17 0.27350  0.0021
95  17 0.27350  0.0019
96  17 0.27360  0.0017
97  17 0.27360  0.0016
98  18 0.27360  0.0014
99  18 0.27360  0.0013
100 18 0.27360  0.0012
