
Call:  glmnet(x = x, y = y, alpha = 0.9, family = "gaussian", standardize = FALSE) 

   Df    %Dev Lambda
1   0 0.00000 6.5690
2   1 0.01582 5.9860
3   2 0.03431 5.4540
4   2 0.05104 4.9690
5   2 0.06494 4.5280
6   2 0.07649 4.1260
7   2 0.08608 3.7590
8   2 0.09405 3.4250
9   2 0.10070 3.1210
10  3 0.10650 2.8440
11  3 0.11150 2.5910
12  3 0.11570 2.3610
13  3 0.11920 2.1510
14  3 0.12210 1.9600
15  3 0.12450 1.7860
16  4 0.12680 1.6270
17  4 0.12900 1.4830
18  4 0.13090 1.3510
19  4 0.13240 1.2310
20  4 0.13360 1.1220
21  4 0.13470 1.0220
22  4 0.13550 0.9312
23  4 0.13630 0.8484
24  4 0.13690 0.7731
25  4 0.13740 0.7044
26  4 0.13780 0.6418
27  4 0.13810 0.5848
28  4 0.13840 0.5328
29  4 0.13860 0.4855
30  4 0.13880 0.4424
31  4 0.13900 0.4031
32  5 0.13910 0.3673
33  5 0.14050 0.3346
34  6 0.14200 0.3049
35  7 0.14390 0.2778
36  8 0.14930 0.2531
37  8 0.15880 0.2307
38  8 0.16670 0.2102
39  9 0.18180 0.1915
40  9 0.19450 0.1745
41  9 0.20530 0.1590
42 10 0.21510 0.1449
43 10 0.22410 0.1320
44 10 0.23170 0.1203
45 10 0.23800 0.1096
46 10 0.24330 0.0998
47 10 0.24770 0.0910
48 10 0.25140 0.0829
49 10 0.25450 0.0755
50 10 0.25700 0.0688
51 10 0.25920 0.0627
52 10 0.26090 0.0571
53 10 0.26240 0.0521
54 10 0.26370 0.0474
55 10 0.26470 0.0432
56 10 0.26550 0.0394
57 11 0.26630 0.0359
58 11 0.26720 0.0327
59 11 0.26790 0.0298
60 12 0.26850 0.0271
61 12 0.26900 0.0247
62 12 0.26950 0.0225
63 12 0.27000 0.0205
64 12 0.27030 0.0187
65 12 0.27060 0.0170
66 13 0.27080 0.0155
67 13 0.27100 0.0142
68 13 0.27120 0.0129
69 14 0.27140 0.0118
70 14 0.27160 0.0107
71 14 0.27190 0.0098
72 13 0.27210 0.0089
73 13 0.27240 0.0081
74 13 0.27260 0.0074
75 12 0.27270 0.0067
76 12 0.27270 0.0061
77 12 0.27280 0.0056
78 13 0.27280 0.0051
79 13 0.27290 0.0046
80 13 0.27300 0.0042
81 13 0.27310 0.0038
82 13 0.27320 0.0035
83 13 0.27320 0.0032
84 13 0.27330 0.0029
85 13 0.27330 0.0027
86 13 0.27340 0.0024
87 15 0.27340 0.0022
88 15 0.27340 0.0020
89 15 0.27350 0.0018
90 15 0.27350 0.0017
91 15 0.27350 0.0015
92 15 0.27350 0.0014
93 16 0.27350 0.0013
94 16 0.27350 0.0011
95 17 0.27360 0.0010
96 18 0.27360 0.0010
97 17 0.27360 0.0009
98 18 0.27360 0.0008
99 18 0.27360 0.0007
