
Call:  glmnet(x = x, y = y, alpha = 0.55, family = "gaussian", standardize = FALSE) 

   Df     %Dev Lambda
1   0 0.000000 9.2850
2   1 0.006086 8.4600
3   1 0.011150 7.7090
4   1 0.015370 7.0240
5   2 0.018900 6.4000
6   2 0.023830 5.8310
7   2 0.027930 5.3130
8   3 0.031440 4.8410
9   3 0.035390 4.4110
10  4 0.038740 4.0190
11  4 0.041510 3.6620
12  4 0.043820 3.3370
13  4 0.045740 3.0410
14  4 0.047350 2.7700
15  5 0.048680 2.5240
16  5 0.049930 2.3000
17  5 0.051000 2.0960
18  5 0.051890 1.9100
19  5 0.052630 1.7400
20  5 0.053250 1.5850
21  5 0.053760 1.4440
22  5 0.054190 1.3160
23  5 0.054550 1.1990
24  5 0.054840 1.0930
25  5 0.055090 0.9956
26  5 0.055300 0.9072
27  5 0.055470 0.8266
28  5 0.055610 0.7532
29  5 0.055730 0.6863
30  5 0.055830 0.6253
31  5 0.055910 0.5697
32  5 0.055980 0.5191
33  5 0.056030 0.4730
34  5 0.056080 0.4310
35  7 0.059450 0.3927
36  7 0.068650 0.3578
37  8 0.076910 0.3260
38  7 0.084280 0.2971
39  7 0.090790 0.2707
40  8 0.099330 0.2466
41  8 0.106800 0.2247
42  8 0.113400 0.2048
43  8 0.119100 0.1866
44  9 0.124300 0.1700
45 10 0.129200 0.1549
46 10 0.133800 0.1411
47 10 0.137700 0.1286
48 10 0.141100 0.1172
49 10 0.144000 0.1068
50 10 0.146400 0.0973
51 10 0.148500 0.0886
52 11 0.150300 0.0808
53 11 0.151800 0.0736
54 11 0.153100 0.0670
55 12 0.154200 0.0611
56 12 0.155100 0.0557
57 12 0.155900 0.0507
58 13 0.156500 0.0462
59 14 0.157100 0.0421
60 15 0.157700 0.0384
61 15 0.158200 0.0350
62 16 0.158600 0.0319
63 16 0.159000 0.0290
64 16 0.159400 0.0264
65 16 0.159700 0.0241
66 16 0.159900 0.0220
67 16 0.160100 0.0200
68 17 0.160300 0.0182
69 17 0.160400 0.0166
70 18 0.160500 0.0151
71 18 0.160600 0.0138
72 18 0.160700 0.0126
73 18 0.160800 0.0114
74 18 0.160900 0.0104
75 18 0.160900 0.0095
76 18 0.160900 0.0087
77 18 0.161000 0.0079
78 18 0.161000 0.0072
79 18 0.161000 0.0066
80 17 0.161100 0.0060
81 17 0.161100 0.0054
82 18 0.161100 0.0050
83 18 0.161100 0.0045
84 19 0.161100 0.0041
85 19 0.161100 0.0037
86 19 0.161100 0.0034
87 19 0.161100 0.0031
88 19 0.161100 0.0028
89 19 0.161100 0.0026
90 19 0.161100 0.0024
91 19 0.161200 0.0021
92 19 0.161200 0.0020
93 19 0.161200 0.0018
94 21 0.161200 0.0016
95 22 0.161200 0.0015
96 22 0.161200 0.0013
97 22 0.161200 0.0012
