
Call:  glmnet(x = x, y = y, alpha = 0.3, family = "gaussian", standardize = TRUE) 

    Df     %Dev  Lambda
1    0 0.000000 1.42700
2    2 0.005176 1.30000
3    5 0.014830 1.18500
4    7 0.028070 1.08000
5   13 0.042260 0.98370
6   19 0.060770 0.89630
7   21 0.079780 0.81660
8   24 0.097200 0.74410
9   25 0.112700 0.67800
10  30 0.129000 0.61780
11  35 0.146600 0.56290
12  42 0.163900 0.51290
13  49 0.181000 0.46730
14  61 0.197200 0.42580
15  63 0.211500 0.38800
16  67 0.224000 0.35350
17  71 0.234900 0.32210
18  69 0.244600 0.29350
19  70 0.253000 0.26740
20  75 0.260200 0.24370
21  78 0.266600 0.22200
22  79 0.272000 0.20230
23  81 0.276700 0.18430
24  82 0.280600 0.16790
25  81 0.284300 0.15300
26  84 0.287600 0.13940
27  86 0.290400 0.12700
28  86 0.292800 0.11580
29  87 0.295000 0.10550
30  89 0.297100 0.09610
31  91 0.299400 0.08757
32  93 0.301500 0.07979
33  92 0.303400 0.07270
34  93 0.305000 0.06624
35  92 0.306400 0.06036
36  91 0.307600 0.05499
37  90 0.308500 0.05011
38  91 0.309400 0.04566
39  90 0.310200 0.04160
40  90 0.310900 0.03791
41  91 0.311500 0.03454
42  91 0.312000 0.03147
43  90 0.312500 0.02867
44  92 0.312800 0.02613
45  91 0.313100 0.02381
46  91 0.313400 0.02169
47  92 0.313600 0.01976
48  92 0.313800 0.01801
49  93 0.314000 0.01641
50  94 0.314100 0.01495
51  93 0.314200 0.01362
52  92 0.314300 0.01241
53  92 0.314400 0.01131
54  93 0.314500 0.01030
55  93 0.314500 0.00939
56  93 0.314600 0.00856
57  96 0.314600 0.00780
58  95 0.314700 0.00710
59  95 0.314700 0.00647
60  95 0.314800 0.00590
61  96 0.314800 0.00537
62  98 0.314800 0.00490
63  98 0.314800 0.00446
64  99 0.314800 0.00406
65  99 0.314800 0.00370
66  99 0.314900 0.00337
67  99 0.314900 0.00308
68  99 0.314900 0.00280
69  99 0.314900 0.00255
70 101 0.314900 0.00233
71 102 0.314900 0.00212
72 102 0.314900 0.00193
73 104 0.314900 0.00176
74 105 0.314900 0.00160
75 105 0.314900 0.00146
76 107 0.314900 0.00133
