
Call:  glmnet(x = x, y = y, alpha = 0.85, family = "gaussian", standardize = FALSE) 

    Df     %Dev  Lambda
1    0 0.000000 10.9000
2    1 0.002836  9.9360
3    1 0.005191  9.0530
4    1 0.007147  8.2490
5    1 0.008771  7.5160
6    1 0.010120  6.8480
7    1 0.011240  6.2400
8    1 0.012170  5.6860
9    1 0.012940  5.1800
10   1 0.013580  4.7200
11   1 0.014110  4.3010
12   2 0.015220  3.9190
13   3 0.017870  3.5710
14   3 0.020080  3.2530
15   3 0.021910  2.9640
16   3 0.023430  2.7010
17   4 0.026880  2.4610
18   4 0.030960  2.2430
19   5 0.034360  2.0430
20   7 0.038040  1.8620
21   8 0.041680  1.6960
22   8 0.045030  1.5460
23   8 0.047810  1.4080
24   8 0.050130  1.2830
25   8 0.052040  1.1690
26   9 0.053740  1.0650
27   9 0.055630  0.9707
28   9 0.057200  0.8845
29  10 0.058960  0.8059
30  10 0.060580  0.7343
31  10 0.061920  0.6691
32  11 0.063740  0.6096
33  12 0.065360  0.5555
34  12 0.066720  0.5061
35  12 0.067850  0.4612
36  12 0.068790  0.4202
37  12 0.069570  0.3829
38  12 0.070230  0.3489
39  12 0.070770  0.3179
40  13 0.071330  0.2896
41  13 0.072010  0.2639
42  13 0.072580  0.2405
43  14 0.074270  0.2191
44  15 0.078600  0.1996
45  18 0.082820  0.1819
46  18 0.092060  0.1657
47  18 0.099830  0.1510
48  18 0.106400  0.1376
49  19 0.113200  0.1254
50  19 0.119300  0.1142
51  24 0.126000  0.1041
52  26 0.137900  0.0948
53  27 0.148900  0.0864
54  27 0.158300  0.0787
55  31 0.166700  0.0717
56  34 0.175900  0.0654
57  34 0.183700  0.0596
58  36 0.191800  0.0543
59  36 0.199700  0.0494
60  36 0.207800  0.0451
61  38 0.216500  0.0411
62  38 0.223900  0.0374
63  38 0.230200  0.0341
64  39 0.235600  0.0311
65  40 0.240400  0.0283
66  41 0.244500  0.0258
67  46 0.249200  0.0235
68  46 0.255000  0.0214
69  47 0.259800  0.0195
70  50 0.265000  0.0178
71  52 0.269800  0.0162
72  54 0.273900  0.0148
73  58 0.278000  0.0134
74  59 0.282200  0.0122
75  60 0.285900  0.0112
76  60 0.289100  0.0102
77  61 0.291800  0.0093
78  61 0.294200  0.0084
79  61 0.296200  0.0077
80  63 0.297900  0.0070
81  63 0.299400  0.0064
82  64 0.300800  0.0058
83  65 0.302200  0.0053
84  65 0.303400  0.0048
85  70 0.304700  0.0044
86  70 0.306000  0.0040
87  72 0.307200  0.0037
88  71 0.308300  0.0033
89  73 0.309300  0.0030
90  73 0.310100  0.0028
91  75 0.310800  0.0025
92  77 0.311300  0.0023
93  80 0.311900  0.0021
94  81 0.312300  0.0019
95  82 0.312700  0.0017
96  82 0.313000  0.0016
97  82 0.313300  0.0014
98  82 0.313600  0.0013
99  83 0.313800  0.0012
100 86 0.314000  0.0011
