
Call:  glmnet(x = x, y = y, alpha = 0.95, family = "gaussian", standardize = TRUE) 

    Df     %Dev  Lambda
1    0 0.000000 0.45070
2    2 0.006271 0.41060
3    5 0.018120 0.37420
4    7 0.032870 0.34090
5   11 0.048700 0.31060
6   16 0.068380 0.28300
7   18 0.088440 0.25790
8   20 0.106300 0.23500
9   21 0.122200 0.21410
10  26 0.140800 0.19510
11  28 0.160100 0.17780
12  31 0.178400 0.16200
13  37 0.195300 0.14760
14  48 0.211000 0.13450
15  52 0.224800 0.12250
16  55 0.236500 0.11160
17  55 0.246500 0.10170
18  57 0.255300 0.09268
19  59 0.262700 0.08445
20  58 0.269000 0.07694
21  63 0.274400 0.07011
22  64 0.278900 0.06388
23  66 0.282800 0.05821
24  67 0.286600 0.05303
25  68 0.289600 0.04832
26  69 0.292200 0.04403
27  74 0.294400 0.04012
28  76 0.296500 0.03655
29  78 0.298500 0.03331
30  79 0.300700 0.03035
31  81 0.302800 0.02765
32  81 0.304600 0.02520
33  81 0.306200 0.02296
34  81 0.307400 0.02092
35  83 0.308500 0.01906
36  83 0.309300 0.01737
37  84 0.310100 0.01582
38  85 0.310700 0.01442
39  84 0.311400 0.01314
40  84 0.311900 0.01197
41  83 0.312400 0.01091
42  83 0.312800 0.00994
43  83 0.313100 0.00906
44  83 0.313400 0.00825
45  81 0.313600 0.00752
46  82 0.313800 0.00685
47  83 0.314000 0.00624
48  84 0.314100 0.00569
49  85 0.314200 0.00518
50  86 0.314300 0.00472
51  86 0.314400 0.00430
52  86 0.314500 0.00392
53  87 0.314500 0.00357
54  89 0.314600 0.00325
55  89 0.314600 0.00296
56  89 0.314700 0.00270
57  90 0.314700 0.00246
58  90 0.314700 0.00224
59  91 0.314800 0.00204
60  92 0.314800 0.00186
61  93 0.314800 0.00170
62  94 0.314800 0.00155
63  94 0.314800 0.00141
64  95 0.314900 0.00128
65  95 0.314900 0.00117
66  94 0.314900 0.00107
67  96 0.314900 0.00097
68  95 0.314900 0.00088
69  96 0.314900 0.00081
70  96 0.314900 0.00073
71  97 0.314900 0.00067
72 100 0.314900 0.00061
73 101 0.314900 0.00056
