
Call:  glmnet(x = x, y = y, alpha = 0.05, family = "gaussian", standardize = FALSE) 

    Df     %Dev  Lambda
1    0 0.000000 149.300
2    1 0.006088 136.000
3    2 0.011580 123.900
4    2 0.017760 112.900
5    2 0.023050 102.900
6    2 0.027550  93.760
7    2 0.031390  85.430
8    2 0.034660  77.840
9    2 0.037420  70.920
10   2 0.039770  64.620
11   3 0.042210  58.880
12   3 0.045710  53.650
13   3 0.048770  48.890
14   3 0.051470  44.540
15   3 0.053850  40.590
16   3 0.055940  36.980
17   3 0.057780  33.690
18   3 0.059400  30.700
19   3 0.060810  27.970
20   3 0.062050  25.490
21   4 0.063300  23.220
22   4 0.064440  21.160
23   4 0.065410  19.280
24   4 0.066260  17.570
25   6 0.067230  16.010
26   8 0.068760  14.590
27   8 0.070560  13.290
28   8 0.072130  12.110
29   8 0.073500  11.030
30   8 0.074700  10.050
31   8 0.075760   9.160
32   8 0.076670   8.346
33   8 0.077470   7.605
34   9 0.078270   6.929
35  10 0.079170   6.314
36  10 0.080300   5.753
37  10 0.081290   5.242
38   9 0.082150   4.776
39   9 0.082870   4.352
40   9 0.083500   3.965
41  11 0.084640   3.613
42  12 0.086330   3.292
43  13 0.088530   3.000
44  13 0.090790   2.733
45  14 0.093490   2.490
46  14 0.096430   2.269
47  15 0.099500   2.067
48  15 0.103000   1.884
49  17 0.106900   1.716
50  17 0.111000   1.564
51  20 0.115500   1.425
52  21 0.120300   1.298
53  21 0.125100   1.183
54  22 0.130000   1.078
55  22 0.135100   0.982
56  22 0.140200   0.895
57  23 0.145300   0.816
58  24 0.150600   0.743
59  24 0.155900   0.677
60  25 0.161100   0.617
61  26 0.166400   0.562
62  27 0.171600   0.512
63  28 0.176700   0.467
64  28 0.181700   0.425
65  29 0.186600   0.387
66  29 0.191200   0.353
67  29 0.195700   0.322
68  29 0.199900   0.293
69  29 0.204000   0.267
70  29 0.207900   0.243
71  29 0.211500   0.222
72  29 0.214900   0.202
73  30 0.218100   0.184
74  31 0.221200   0.168
75  30 0.223900   0.153
76  31 0.226400   0.139
77  31 0.228700   0.127
78  31 0.230800   0.116
79  32 0.232800   0.105
80  31 0.234500   0.096
81  32 0.236200   0.087
82  32 0.237700   0.080
83  32 0.239100   0.073
84  32 0.240400   0.066
85  32 0.241600   0.060
86  32 0.242600   0.055
87  32 0.243500   0.050
88  32 0.244300   0.046
89  32 0.245000   0.042
90  33 0.245700   0.038
91  33 0.246300   0.034
92  33 0.246800   0.031
93  33 0.247200   0.029
94  33 0.247600   0.026
95  33 0.247900   0.024
96  33 0.248200   0.022
97  33 0.248500   0.020
98  33 0.248700   0.018
99  33 0.248900   0.016
100 32 0.249100   0.015
