
Call:  glmnet(x = x, y = y, alpha = 0.2, family = "gaussian", standardize = FALSE) 

    Df    %Dev Lambda
1    0 0.00000 37.320
2    1 0.00701 34.010
3    1 0.01290 30.990
4    2 0.01896 28.230
5    2 0.02447 25.720
6    2 0.02907 23.440
7    2 0.03292 21.360
8    2 0.03613 19.460
9    2 0.03881 17.730
10   2 0.04105 16.160
11   2 0.04291 14.720
12   3 0.04646 13.410
13   3 0.05010 12.220
14   3 0.05319 11.140
15   3 0.05581 10.150
16   3 0.05803  9.245
17   3 0.05990  8.424
18   3 0.06149  7.675
19   3 0.06282  6.993
20   3 0.06395  6.372
21   3 0.06490  5.806
22   3 0.06569  5.290
23   3 0.06636  4.820
24   4 0.06707  4.392
25   4 0.06774  4.002
26   5 0.06969  3.646
27   5 0.07155  3.322
28   5 0.07308  3.027
29   6 0.07447  2.758
30   6 0.07575  2.513
31   6 0.07681  2.290
32   6 0.07771  2.087
33   7 0.07848  1.901
34   7 0.07912  1.732
35   8 0.07984  1.578
36   6 0.08089  1.438
37   7 0.08187  1.310
38   8 0.08271  1.194
39   8 0.08347  1.088
40   8 0.08410  0.991
41   9 0.08663  0.903
42  11 0.09091  0.823
43  11 0.09670  0.750
44  11 0.10240  0.683
45  12 0.10920  0.623
46  12 0.11610  0.567
47  12 0.12280  0.517
48  13 0.12920  0.471
49  15 0.13600  0.429
50  15 0.14300  0.391
51  15 0.14940  0.356
52  16 0.15600  0.325
53  18 0.16220  0.296
54  19 0.16910  0.270
55  19 0.17570  0.246
56  20 0.18170  0.224
57  20 0.18730  0.204
58  21 0.19250  0.186
59  23 0.19800  0.169
60  23 0.20320  0.154
61  23 0.20790  0.140
62  24 0.21220  0.128
63  25 0.21610  0.117
64  25 0.21980  0.106
65  25 0.22310  0.097
66  26 0.22610  0.088
67  26 0.22880  0.080
68  26 0.23120  0.073
69  24 0.23340  0.067
70  24 0.23530  0.061
71  24 0.23700  0.055
72  25 0.23850  0.050
73  26 0.23990  0.046
74  26 0.24120  0.042
75  27 0.24240  0.038
76  27 0.24340  0.035
77  27 0.24430  0.032
78  27 0.24510  0.029
79  28 0.24580  0.026
80  28 0.24640  0.024
81  29 0.24690  0.022
82  29 0.24740  0.020
83  30 0.24780  0.018
84  30 0.24810  0.017
85  30 0.24840  0.015
86  30 0.24860  0.014
87  30 0.24880  0.013
88  30 0.24900  0.011
89  30 0.24920  0.010
90  30 0.24930  0.009
91  30 0.24940  0.009
92  31 0.24950  0.008
93  31 0.24960  0.007
94  32 0.24970  0.007
95  32 0.24970  0.006
96  32 0.24980  0.005
97  32 0.24980  0.005
98  32 0.24980  0.004
99  32 0.24990  0.004
100 33 0.24990  0.004
