
Call:  glmnet(x = x, y = y, alpha = 0.45, family = "gaussian", standardize = TRUE) 

   Df     %Dev  Lambda
1   0 0.000000 1.21500
2   2 0.009911 1.10700
3   3 0.023420 1.00900
4   5 0.038890 0.91930
5   6 0.052410 0.83760
6   9 0.067050 0.76320
7  10 0.082220 0.69540
8  10 0.095400 0.63360
9  11 0.108700 0.57730
10 13 0.121300 0.52610
11 13 0.132500 0.47930
12 16 0.143300 0.43670
13 19 0.155500 0.39790
14 19 0.167100 0.36260
15 20 0.177900 0.33040
16 22 0.187700 0.30100
17 23 0.196600 0.27430
18 24 0.204600 0.24990
19 26 0.211500 0.22770
20 26 0.217300 0.20750
21 26 0.222200 0.18910
22 27 0.226400 0.17230
23 27 0.229800 0.15700
24 28 0.232800 0.14300
25 29 0.235300 0.13030
26 29 0.237400 0.11870
27 29 0.239200 0.10820
28 29 0.240700 0.09857
29 28 0.241900 0.08982
30 28 0.243000 0.08184
31 28 0.243800 0.07457
32 29 0.244700 0.06794
33 29 0.245600 0.06191
34 29 0.246300 0.05641
35 29 0.246900 0.05140
36 29 0.247400 0.04683
37 29 0.247800 0.04267
38 29 0.248200 0.03888
39 29 0.248500 0.03543
40 29 0.248700 0.03228
41 29 0.248900 0.02941
42 29 0.249100 0.02680
43 29 0.249200 0.02442
44 29 0.249400 0.02225
45 29 0.249500 0.02027
46 30 0.249500 0.01847
47 30 0.249600 0.01683
48 30 0.249700 0.01533
49 30 0.249700 0.01397
50 30 0.249800 0.01273
51 30 0.249800 0.01160
52 30 0.249900 0.01057
53 30 0.249900 0.00963
54 30 0.249900 0.00878
55 30 0.249900 0.00800
56 30 0.249900 0.00728
57 30 0.250000 0.00664
58 30 0.250000 0.00605
59 30 0.250000 0.00551
60 30 0.250000 0.00502
61 30 0.250000 0.00458
62 30 0.250000 0.00417
63 30 0.250000 0.00380
64 30 0.250000 0.00346
65 30 0.250000 0.00315
66 30 0.250000 0.00287
67 30 0.250000 0.00262
