
Call:  glmnet(x = x, y = y, alpha = 0.01, family = "gaussian", standardize = TRUE) 

     Df     %Dev Lambda
1     0 0.000000 38.730
2     1 0.000358 35.290
3     3 0.000782 32.150
4     8 0.002231 29.300
5    21 0.005983 26.690
6    34 0.011370 24.320
7    45 0.018050 22.160
8    62 0.025710 20.190
9    77 0.034180 18.400
10   93 0.043130 16.770
11  104 0.052450 15.280
12  115 0.062020 13.920
13  124 0.071880 12.680
14  132 0.081840 11.560
15  136 0.091800 10.530
16  142 0.101700  9.594
17  148 0.111500  8.741
18  153 0.121100  7.965
19  156 0.130600  7.257
20  157 0.139800  6.612
21  159 0.148800  6.025
22  159 0.157600  5.490
23  160 0.166100  5.002
24  161 0.174400  4.558
25  160 0.182400  4.153
26  159 0.190200  3.784
27  159 0.197700  3.448
28  159 0.205000  3.141
29  159 0.212000  2.862
30  157 0.218700  2.608
31  157 0.225000  2.376
32  156 0.231100  2.165
33  155 0.236900  1.973
34  153 0.242300  1.798
35  150 0.247400  1.638
36  147 0.252200  1.492
37  148 0.256700  1.360
38  147 0.261000  1.239
39  144 0.265100  1.129
40  143 0.268800  1.029
41  141 0.272300  0.937
42  140 0.275500  0.854
43  139 0.278500  0.778
44  139 0.281200  0.709
45  140 0.283700  0.646
46  140 0.286100  0.589
47  140 0.288200  0.536
48  138 0.290200  0.489
49  140 0.292000  0.445
50  139 0.293700  0.406
51  139 0.295200  0.370
52  140 0.296500  0.337
53  141 0.297800  0.307
54  143 0.298900  0.280
55  143 0.299900  0.255
56  144 0.300800  0.232
57  145 0.301600  0.212
58  144 0.302300  0.193
59  145 0.302900  0.176
60  146 0.303500  0.160
61  147 0.304000  0.146
62  147 0.304400  0.133
63  147 0.304800  0.121
64  149 0.305100  0.110
65  148 0.305400  0.100
66  147 0.305700  0.092
67  147 0.305900  0.083
68  147 0.306100  0.076
69  147 0.306300  0.069
70  149 0.306500  0.063
71  148 0.306600  0.058
72  148 0.306700  0.052
73  148 0.306800  0.048
74  148 0.306900  0.044
75  151 0.307000  0.040
76  151 0.307000  0.036
77  154 0.307100  0.033
78  153 0.307100  0.030
79  153 0.307200  0.027
80  153 0.307200  0.025
81  153 0.307200  0.023
82  155 0.307300  0.021
83  155 0.307300  0.019
84  155 0.307300  0.017
85  156 0.307300  0.016
86  156 0.307400  0.014
87  157 0.307400  0.013
88  157 0.307400  0.012
89  159 0.307400  0.011
90  159 0.307400  0.010
91  158 0.307400  0.009
92  158 0.307400  0.008
93  158 0.307400  0.007
94  160 0.307400  0.007
95  160 0.307400  0.006
96  160 0.307400  0.006
97  160 0.307400  0.005
98  159 0.307400  0.005
99  159 0.307400  0.004
100 159 0.307400  0.004
