
Call:  glmnet(x = x, y = y, alpha = 0.95, family = "gaussian", standardize = TRUE) 

    Df     %Dev  Lambda
1    0 0.000000 0.40770
2    1 0.006251 0.37150
3    3 0.011830 0.33850
4    5 0.025980 0.30840
5    6 0.040710 0.28100
6    8 0.053970 0.25600
7   17 0.067810 0.23330
8   21 0.081700 0.21260
9   26 0.096050 0.19370
10  27 0.114700 0.17650
11  34 0.133600 0.16080
12  40 0.153700 0.14650
13  45 0.172500 0.13350
14  45 0.189600 0.12160
15  46 0.203900 0.11080
16  50 0.217300 0.10100
17  53 0.229100 0.09201
18  56 0.239300 0.08384
19  59 0.247900 0.07639
20  64 0.255200 0.06961
21  65 0.261700 0.06342
22  69 0.267300 0.05779
23  71 0.272100 0.05265
24  77 0.276300 0.04798
25  80 0.280000 0.04371
26  80 0.283500 0.03983
27  82 0.286900 0.03629
28  83 0.289700 0.03307
29  84 0.292000 0.03013
30  83 0.294000 0.02745
31  86 0.295600 0.02501
32  85 0.297000 0.02279
33  86 0.298300 0.02077
34  86 0.299400 0.01892
35  86 0.300300 0.01724
36  86 0.301000 0.01571
37  88 0.301600 0.01431
38  86 0.302100 0.01304
39  88 0.302500 0.01188
40  90 0.302900 0.01083
41  91 0.303200 0.00987
42  93 0.303500 0.00899
43  93 0.304000 0.00819
44  96 0.304300 0.00746
45  97 0.304700 0.00680
46  99 0.305000 0.00620
47 100 0.305300 0.00565
48 100 0.305600 0.00514
49 101 0.305800 0.00469
50 103 0.306000 0.00427
51 105 0.306200 0.00389
52 102 0.306400 0.00355
53 102 0.306500 0.00323
54 101 0.306600 0.00294
55 100 0.306700 0.00268
56 101 0.306800 0.00244
57 103 0.306900 0.00223
58 107 0.306900 0.00203
59 111 0.307000 0.00185
60 111 0.307100 0.00168
61 112 0.307100 0.00154
62 113 0.307100 0.00140
63 112 0.307200 0.00127
64 115 0.307200 0.00116
65 114 0.307200 0.00106
66 116 0.307300 0.00096
67 117 0.307300 0.00088
68 120 0.307300 0.00080
69 121 0.307300 0.00073
70 121 0.307300 0.00066
71 121 0.307300 0.00061
72 123 0.307400 0.00055
73 124 0.307400 0.00050
74 126 0.307400 0.00046
75 127 0.307400 0.00042
76 129 0.307400 0.00038
77 130 0.307400 0.00035
78 130 0.307400 0.00032
79 133 0.307400 0.00029
80 135 0.307400 0.00026
81 135 0.307400 0.00024
82 136 0.307400 0.00022
83 140 0.307400 0.00020
84 142 0.307400 0.00018
85 143 0.307400 0.00016
