
Call:  glmnet(x = x, y = y, alpha = 0.01, family = "gaussian", standardize = TRUE) 

     Df     %Dev Lambda
1     0 0.000000 44.580
2     1 0.000392 40.620
3     2 0.000954 37.010
4     3 0.002024 33.720
5     5 0.003332 30.730
6    17 0.006132 28.000
7    26 0.010870 25.510
8    34 0.016540 23.240
9    48 0.023310 21.180
10   63 0.030880 19.300
11   82 0.039190 17.580
12   92 0.047830 16.020
13  108 0.056840 14.600
14  132 0.066380 13.300
15  145 0.076180 12.120
16  155 0.086140 11.040
17  162 0.096310 10.060
18  181 0.106600  9.167
19  194 0.116900  8.353
20  204 0.127000  7.611
21  211 0.137100  6.935
22  216 0.146900  6.319
23  219 0.156500  5.757
24  228 0.165800  5.246
25  227 0.174900  4.780
26  227 0.183600  4.355
27  224 0.192000  3.968
28  223 0.200000  3.616
29  222 0.207800  3.295
30  219 0.215100  3.002
31  217 0.222100  2.735
32  216 0.228800  2.492
33  213 0.235100  2.271
34  213 0.241100  2.069
35  206 0.246700  1.885
36  206 0.251900  1.718
37  206 0.256900  1.565
38  204 0.261600  1.426
39  203 0.266000  1.299
40  200 0.270100  1.184
41  200 0.273900  1.079
42  199 0.277400  0.983
43  201 0.280600  0.896
44  206 0.283700  0.816
45  205 0.286500  0.744
46  203 0.289000  0.678
47  209 0.291400  0.617
48  210 0.293600  0.562
49  213 0.295600  0.512
50  214 0.297500  0.467
51  215 0.299300  0.426
52  215 0.300800  0.388
53  220 0.302200  0.353
54  223 0.303500  0.322
55  224 0.304700  0.293
56  222 0.305800  0.267
57  224 0.306700  0.244
58  225 0.307600  0.222
59  230 0.308400  0.202
60  232 0.309200  0.184
61  237 0.309800  0.168
62  238 0.310400  0.153
63  244 0.310900  0.139
64  241 0.311400  0.127
65  244 0.311900  0.116
66  249 0.312200  0.105
67  247 0.312600  0.096
68  245 0.312900  0.088
69  251 0.313200  0.080
70  254 0.313500  0.073
71  256 0.313700  0.066
72  256 0.313900  0.060
73  250 0.314100  0.055
74  255 0.314200  0.050
75  262 0.314400  0.046
76  265 0.314500  0.042
77  265 0.314600  0.038
78  266 0.314800  0.035
79  267 0.314800  0.031
80  270 0.314900  0.029
81  272 0.315000  0.026
82  274 0.315100  0.024
83  274 0.315200  0.022
84  278 0.315200  0.020
85  278 0.315300  0.018
86  281 0.315300  0.016
87  283 0.315400  0.015
88  284 0.315400  0.014
89  284 0.315400  0.012
90  285 0.315500  0.011
91  286 0.315500  0.010
92  284 0.315500  0.009
93  283 0.315600  0.009
94  282 0.315600  0.008
95  285 0.315600  0.007
96  284 0.315600  0.006
97  285 0.315600  0.006
98  285 0.315600  0.005
99  285 0.315700  0.005
100 285 0.315700  0.004
