
Call:  glmnet(x = x, y = y, alpha = 0.15, family = "gaussian", standardize = FALSE) 

     Df     %Dev  Lambda
1     0 0.000000 27.5400
2     2 0.003363 25.0900
3     2 0.006344 22.8600
4     2 0.008836 20.8300
5     4 0.011890 18.9800
6     4 0.014650 17.2900
7     6 0.017700 15.7600
8     7 0.020790 14.3600
9     7 0.023470 13.0800
10    7 0.025700 11.9200
11    8 0.027580 10.8600
12    9 0.029570  9.8960
13    9 0.031690  9.0170
14   12 0.034080  8.2160
15   12 0.036400  7.4860
16   14 0.038800  6.8210
17   14 0.041280  6.2150
18   13 0.043350  5.6630
19   15 0.045100  5.1600
20   19 0.047130  4.7010
21   21 0.049850  4.2840
22   21 0.052290  3.9030
23   22 0.054380  3.5560
24   22 0.056260  3.2410
25   24 0.058100  2.9530
26   28 0.060350  2.6900
27   30 0.062700  2.4510
28   30 0.064770  2.2340
29   32 0.066910  2.0350
30   32 0.068700  1.8540
31   34 0.070250  1.6900
32   36 0.071730  1.5400
33   39 0.073530  1.4030
34   47 0.075500  1.2780
35   49 0.079700  1.1650
36   46 0.085270  1.0610
37   48 0.091250  0.9669
38   49 0.097760  0.8810
39   51 0.104600  0.8027
40   54 0.112000  0.7314
41   59 0.119800  0.6664
42   61 0.127500  0.6072
43   63 0.134800  0.5533
44   68 0.141700  0.5041
45   72 0.148700  0.4593
46   73 0.155600  0.4185
47   79 0.162900  0.3814
48   83 0.169900  0.3475
49   87 0.177500  0.3166
50   90 0.184600  0.2885
51   93 0.191200  0.2628
52   96 0.197400  0.2395
53   98 0.203500  0.2182
54   96 0.209600  0.1988
55  102 0.215300  0.1812
56  110 0.220900  0.1651
57  109 0.226200  0.1504
58  112 0.231100  0.1371
59  117 0.235900  0.1249
60  118 0.240500  0.1138
61  120 0.244900  0.1037
62  123 0.249000  0.0945
63  126 0.253200  0.0861
64  128 0.257100  0.0784
65  127 0.260900  0.0715
66  130 0.264400  0.0651
67  131 0.267600  0.0593
68  132 0.270700  0.0541
69  135 0.273500  0.0492
70  139 0.276300  0.0449
71  143 0.278900  0.0409
72  147 0.281300  0.0373
73  152 0.283700  0.0340
74  155 0.286000  0.0309
75  157 0.288200  0.0282
76  160 0.290200  0.0257
77  160 0.292200  0.0234
78  166 0.294000  0.0213
79  173 0.295800  0.0194
80  180 0.297400  0.0177
81  181 0.298900  0.0161
82  184 0.300300  0.0147
83  186 0.301600  0.0134
84  191 0.302900  0.0122
85  197 0.304100  0.0111
86  196 0.305300  0.0101
87  198 0.306300  0.0092
88  201 0.307200  0.0084
89  201 0.308100  0.0077
90  201 0.308900  0.0070
91  204 0.309500  0.0064
92  205 0.310100  0.0058
93  209 0.310600  0.0053
94  216 0.311100  0.0048
95  220 0.311600  0.0044
96  223 0.312100  0.0040
97  222 0.312500  0.0036
98  224 0.312900  0.0033
99  228 0.313200  0.0030
100 233 0.313500  0.0028
