
Call:  glmnet(x = x, y = y, alpha = 0.75, family = "gaussian", standardize = FALSE) 

     Df     %Dev Lambda
1     0 0.000000 5.5070
2     2 0.003453 5.0180
3     2 0.006490 4.5720
4     2 0.009012 4.1660
5     4 0.012010 3.7960
6     4 0.014800 3.4590
7     6 0.017790 3.1510
8     7 0.020920 2.8720
9     7 0.023630 2.6160
10    7 0.025880 2.3840
11    8 0.027750 2.1720
12    9 0.029750 1.9790
13    9 0.031890 1.8030
14   12 0.034190 1.6430
15   12 0.036540 1.4970
16   14 0.038940 1.3640
17   13 0.041470 1.2430
18   13 0.043550 1.1330
19   14 0.045290 1.0320
20   17 0.047290 0.9403
21   21 0.050020 0.8568
22   21 0.052500 0.7806
23   22 0.054600 0.7113
24   22 0.056500 0.6481
25   24 0.058350 0.5905
26   26 0.060610 0.5381
27   30 0.062990 0.4903
28   30 0.065100 0.4467
29   32 0.067270 0.4070
30   32 0.069110 0.3709
31   33 0.070640 0.3379
32   35 0.072100 0.3079
33   38 0.073910 0.2806
34   44 0.075910 0.2556
35   44 0.084390 0.2329
36   44 0.096620 0.2122
37   47 0.107200 0.1934
38   48 0.118100 0.1762
39   49 0.127700 0.1605
40   52 0.136900 0.1463
41   57 0.145700 0.1333
42   61 0.154300 0.1214
43   62 0.161600 0.1107
44   66 0.168200 0.1008
45   68 0.175700 0.0919
46   69 0.183800 0.0837
47   74 0.190900 0.0763
48   79 0.198300 0.0695
49   86 0.205200 0.0633
50   88 0.212000 0.0577
51   91 0.217700 0.0526
52   95 0.223400 0.0479
53   95 0.229000 0.0436
54   97 0.234400 0.0398
55  102 0.239700 0.0362
56  102 0.244300 0.0330
57  104 0.248200 0.0301
58  110 0.252500 0.0274
59  114 0.256900 0.0250
60  115 0.260900 0.0228
61  117 0.264600 0.0207
62  119 0.267800 0.0189
63  126 0.272400 0.0172
64  127 0.276900 0.0157
65  128 0.280900 0.0143
66  129 0.284700 0.0130
67  130 0.287900 0.0119
68  134 0.290600 0.0108
69  134 0.293100 0.0099
70  140 0.295200 0.0090
71  147 0.297400 0.0082
72  148 0.299400 0.0075
73  151 0.301200 0.0068
74  155 0.302700 0.0062
75  158 0.304100 0.0056
76  156 0.305200 0.0051
77  160 0.306100 0.0047
78  162 0.307000 0.0043
79  170 0.307900 0.0039
80  176 0.308800 0.0035
81  186 0.309500 0.0032
82  187 0.310200 0.0029
83  190 0.310700 0.0027
84  191 0.311200 0.0024
85  195 0.311700 0.0022
86  197 0.312200 0.0020
87  197 0.312600 0.0018
88  199 0.313000 0.0017
89  199 0.313200 0.0015
90  201 0.313500 0.0014
91  202 0.313700 0.0013
92  203 0.313900 0.0012
93  205 0.314100 0.0011
94  208 0.314300 0.0010
95  210 0.314500 0.0009
96  214 0.314600 0.0008
97  215 0.314800 0.0007
98  218 0.314900 0.0007
99  219 0.315000 0.0006
100 227 0.315100 0.0006
