
Call:  glmnet(x = x, y = y, alpha = 0.95, family = "gaussian", standardize = TRUE) 

     Df     %Dev  Lambda
1     0 0.000000 0.46920
2     1 0.007422 0.42760
3     2 0.016790 0.38960
4     3 0.028470 0.35500
5     4 0.041350 0.32340
6     6 0.055970 0.29470
7    10 0.071910 0.26850
8    13 0.088450 0.24470
9    15 0.103900 0.22290
10   17 0.117300 0.20310
11   21 0.130700 0.18510
12   27 0.144200 0.16860
13   30 0.158600 0.15370
14   38 0.174300 0.14000
15   42 0.191600 0.12760
16   42 0.206200 0.11620
17   48 0.218600 0.10590
18   51 0.229400 0.09650
19   58 0.238800 0.08793
20   65 0.247300 0.08012
21   67 0.254900 0.07300
22   71 0.261500 0.06651
23   79 0.267400 0.06060
24   84 0.272600 0.05522
25   92 0.277400 0.05031
26   95 0.281500 0.04585
27   97 0.285100 0.04177
28  106 0.288200 0.03806
29  113 0.290900 0.03468
30  114 0.293200 0.03160
31  118 0.295400 0.02879
32  120 0.297200 0.02623
33  117 0.298700 0.02390
34  116 0.300200 0.02178
35  116 0.301500 0.01985
36  117 0.302600 0.01808
37  116 0.303600 0.01648
38  119 0.304500 0.01501
39  119 0.305300 0.01368
40  119 0.306000 0.01246
41  126 0.306800 0.01136
42  133 0.307500 0.01035
43  134 0.308300 0.00943
44  134 0.308900 0.00859
45  134 0.309400 0.00783
46  136 0.309900 0.00713
47  140 0.310500 0.00650
48  142 0.311000 0.00592
49  144 0.311500 0.00540
50  146 0.311900 0.00492
51  155 0.312300 0.00448
52  155 0.312700 0.00408
53  161 0.313000 0.00372
54  156 0.313300 0.00339
55  163 0.313400 0.00309
56  165 0.313600 0.00281
57  165 0.313800 0.00256
58  172 0.313900 0.00233
59  177 0.314100 0.00213
60  180 0.314200 0.00194
61  183 0.314300 0.00177
62  186 0.314500 0.00161
63  186 0.314600 0.00147
64  194 0.314700 0.00134
65  198 0.314800 0.00122
66  202 0.314900 0.00111
67  205 0.315000 0.00101
68  209 0.315100 0.00092
69  210 0.315200 0.00084
70  211 0.315300 0.00076
71  214 0.315300 0.00070
72  217 0.315400 0.00063
73  220 0.315400 0.00058
74  221 0.315500 0.00053
75  222 0.315500 0.00048
76  224 0.315500 0.00044
77  224 0.315500 0.00040
78  232 0.315600 0.00036
79  232 0.315600 0.00033
80  236 0.315600 0.00030
81  240 0.315600 0.00027
82  240 0.315600 0.00025
83  247 0.315600 0.00023
84  250 0.315600 0.00021
85  256 0.315600 0.00019
86  258 0.315700 0.00017
87  260 0.315700 0.00016
88  263 0.315700 0.00014
89  266 0.315700 0.00013
90  267 0.315700 0.00012
91  268 0.315700 0.00011
92  273 0.315700 0.00010
93  273 0.315700 0.00009
94  274 0.315700 0.00008
95  275 0.315700 0.00007
96  275 0.315700 0.00007
97  276 0.315700 0.00006
98  278 0.315700 0.00006
99  279 0.315700 0.00005
100 280 0.315700 0.00005
