
Call:  glmnet(x = x, y = y, alpha = 0.15, family = "gaussian", standardize = FALSE) 

    Df    %Dev  Lambda
1    0 0.00000 31.2000
2    1 0.00232 28.4300
3    1 0.00426 25.9100
4    1 0.00588 23.6000
5    1 0.00724 21.5100
6    1 0.00838 19.6000
7    3 0.01119 17.8600
8    3 0.01451 16.2700
9    3 0.01732 14.8200
10   4 0.02044 13.5100
11   4 0.02301 12.3100
12   5 0.02539 11.2100
13   5 0.02745 10.2200
14   5 0.02918  9.3100
15   5 0.03063  8.4830
16   5 0.03184  7.7300
17   8 0.03330  7.0430
18   9 0.03521  6.4170
19   9 0.03711  5.8470
20   9 0.03870  5.3280
21   9 0.04004  4.8540
22   9 0.04116  4.4230
23  10 0.04222  4.0300
24  10 0.04314  3.6720
25  10 0.04389  3.3460
26  10 0.04452  3.0490
27  10 0.04505  2.7780
28   9 0.04548  2.5310
29   9 0.04585  2.3060
30   9 0.04615  2.1010
31   9 0.04640  1.9150
32  10 0.04663  1.7450
33  10 0.04711  1.5900
34  10 0.04751  1.4480
35  11 0.04787  1.3200
36  12 0.04909  1.2020
37  12 0.05157  1.0960
38  12 0.05517  0.9983
39  12 0.05922  0.9096
40  12 0.06323  0.8288
41  12 0.06719  0.7552
42  16 0.07142  0.6881
43  18 0.07844  0.6270
44  19 0.08678  0.5713
45  20 0.09496  0.5205
46  23 0.10330  0.4743
47  26 0.11160  0.4321
48  29 0.12080  0.3938
49  30 0.13030  0.3588
50  31 0.13970  0.3269
51  33 0.14920  0.2979
52  36 0.15900  0.2714
53  39 0.16870  0.2473
54  39 0.17800  0.2253
55  41 0.18670  0.2053
56  44 0.19510  0.1871
57  46 0.20330  0.1704
58  51 0.21100  0.1553
59  53 0.21880  0.1415
60  52 0.22640  0.1289
61  54 0.23340  0.1175
62  54 0.24000  0.1070
63  55 0.24620  0.0975
64  55 0.25220  0.0889
65  58 0.25780  0.0810
66  59 0.26300  0.0738
67  60 0.26790  0.0672
68  61 0.27280  0.0613
69  62 0.27760  0.0558
70  63 0.28220  0.0509
71  63 0.28650  0.0463
72  63 0.29050  0.0422
73  63 0.29420  0.0385
74  62 0.29770  0.0350
75  62 0.30080  0.0319
76  62 0.30380  0.0291
77  62 0.30650  0.0265
78  63 0.30890  0.0242
79  65 0.31140  0.0220
80  66 0.31390  0.0201
81  65 0.31610  0.0183
82  65 0.31830  0.0167
83  65 0.32030  0.0152
84  66 0.32220  0.0138
85  66 0.32390  0.0126
86  66 0.32540  0.0115
87  67 0.32690  0.0105
88  67 0.32810  0.0095
89  66 0.32930  0.0087
90  65 0.33030  0.0079
91  65 0.33130  0.0072
92  66 0.33210  0.0066
93  67 0.33290  0.0060
94  66 0.33350  0.0055
95  66 0.33410  0.0050
96  67 0.33460  0.0045
97  67 0.33500  0.0041
98  68 0.33540  0.0038
99  68 0.33570  0.0034
100 69 0.33600  0.0031
