
Call:  glmnet(x = x, y = y, alpha = 0.9, family = "gaussian", standardize = FALSE) 

    Df    %Dev Lambda
1    0 0.00000 5.2010
2    1 0.00239 4.7390
3    1 0.00437 4.3180
4    1 0.00602 3.9340
5    1 0.00739 3.5850
6    1 0.00852 3.2660
7    3 0.01119 2.9760
8    3 0.01472 2.7120
9    3 0.01765 2.4710
10   4 0.02078 2.2510
11   4 0.02337 2.0510
12   5 0.02564 1.8690
13   5 0.02773 1.7030
14   5 0.02945 1.5520
15   5 0.03089 1.4140
16   5 0.03208 1.2880
17   8 0.03342 1.1740
18   9 0.03535 1.0700
19   9 0.03731 0.9745
20   9 0.03892 0.8879
21   9 0.04027 0.8091
22   9 0.04138 0.7372
23  10 0.04242 0.6717
24  10 0.04333 0.6120
25  10 0.04407 0.5577
26  10 0.04468 0.5081
27   9 0.04519 0.4630
28   9 0.04561 0.4218
29   9 0.04596 0.3844
30   9 0.04625 0.3502
31   9 0.04649 0.3191
32  10 0.04669 0.2908
33  10 0.04720 0.2649
34  10 0.04763 0.2414
35  11 0.04798 0.2200
36  12 0.05167 0.2004
37  12 0.05910 0.1826
38  12 0.06852 0.1664
39  12 0.07737 0.1516
40  12 0.08478 0.1381
41  14 0.09302 0.1259
42  17 0.10470 0.1147
43  19 0.11720 0.1045
44  19 0.12980 0.0952
45  19 0.14050 0.0867
46  22 0.14940 0.0790
47  23 0.15710 0.0720
48  26 0.16580 0.0656
49  27 0.17450 0.0598
50  31 0.18340 0.0545
51  34 0.19440 0.0496
52  37 0.20620 0.0452
53  38 0.21620 0.0412
54  38 0.22470 0.0376
55  39 0.23170 0.0342
56  41 0.23790 0.0312
57  43 0.24410 0.0284
58  44 0.25220 0.0259
59  46 0.26120 0.0236
60  47 0.26970 0.0215
61  50 0.27750 0.0196
62  50 0.28450 0.0178
63  49 0.29020 0.0163
64  51 0.29610 0.0148
65  54 0.30120 0.0135
66  55 0.30560 0.0123
67  56 0.30930 0.0112
68  55 0.31250 0.0102
69  56 0.31510 0.0093
70  55 0.31750 0.0085
71  57 0.32000 0.0077
72  57 0.32220 0.0070
73  58 0.32410 0.0064
74  61 0.32620 0.0058
75  61 0.32800 0.0053
76  61 0.32960 0.0048
77  62 0.33090 0.0044
78  60 0.33200 0.0040
79  60 0.33280 0.0037
80  59 0.33360 0.0033
81  61 0.33430 0.0030
82  63 0.33480 0.0028
83  62 0.33530 0.0025
84  62 0.33570 0.0023
85  62 0.33600 0.0021
86  63 0.33630 0.0019
87  64 0.33650 0.0017
88  65 0.33670 0.0016
89  65 0.33690 0.0014
90  65 0.33700 0.0013
91  66 0.33720 0.0012
92  66 0.33730 0.0011
93  66 0.33730 0.0010
94  67 0.33740 0.0009
95  68 0.33750 0.0008
96  67 0.33750 0.0008
97  67 0.33760 0.0007
98  67 0.33760 0.0006
99  67 0.33760 0.0006
100 67 0.33760 0.0005
