
Call:  glmnet(x = x, y = y, alpha = 0.01, family = "gaussian", standardize = FALSE) 

     Df    %Dev Lambda
1     0 0.00000 484.00
2     1 0.00274 441.00
3     1 0.00545 401.80
4     1 0.00813 366.10
5     1 0.01075 333.60
6     3 0.01363 304.00
7     3 0.01732 277.00
8     4 0.02132 252.40
9     4 0.02497 230.00
10    4 0.02828 209.50
11    5 0.03129 190.90
12    5 0.03410 174.00
13    7 0.03673 158.50
14    8 0.03913 144.40
15    9 0.04130 131.60
16    9 0.04322 119.90
17    9 0.04489 109.20
18   10 0.04667  99.54
19   11 0.04834  90.70
20   12 0.04997  82.64
21   12 0.05146  75.30
22   13 0.05282  68.61
23   13 0.05407  62.51
24   14 0.05519  56.96
25   16 0.05636  51.90
26   17 0.05742  47.29
27   16 0.05846  43.09
28   17 0.05948  39.26
29   17 0.06042  35.77
30   17 0.06127  32.60
31   17 0.06205  29.70
32   18 0.06276  27.06
33   20 0.06358  24.66
34   20 0.06438  22.47
35   20 0.06513  20.47
36   21 0.06583  18.65
37   21 0.06652  17.00
38   24 0.06745  15.49
39   26 0.06858  14.11
40   27 0.06985  12.86
41   27 0.07113  11.71
42   27 0.07242  10.67
43   31 0.07389   9.72
44   32 0.07552   8.86
45   33 0.07727   8.07
46   34 0.07907   7.36
47   34 0.08100   6.70
48   38 0.08312   6.11
49   41 0.08554   5.57
50   43 0.08814   5.07
51   47 0.09099   4.62
52   50 0.09409   4.21
53   53 0.09745   3.84
54   53 0.10100   3.50
55   57 0.10480   3.19
56   62 0.10890   2.90
57   62 0.11320   2.64
58   64 0.11770   2.41
59   67 0.12240   2.19
60   69 0.12740   2.00
61   70 0.13260   1.82
62   72 0.13800   1.66
63   72 0.14350   1.51
64   75 0.14920   1.38
65   77 0.15510   1.26
66   81 0.16120   1.14
67   82 0.16730   1.04
68   83 0.17360   0.95
69   84 0.18000   0.87
70   84 0.18640   0.79
71   87 0.19280   0.72
72   86 0.19930   0.65
73   88 0.20570   0.60
74   89 0.21210   0.54
75   89 0.21850   0.50
76   90 0.22480   0.45
77   91 0.23110   0.41
78   92 0.23730   0.37
79   93 0.24340   0.34
80   93 0.24940   0.31
81   94 0.25530   0.28
82   95 0.26100   0.26
83   96 0.26670   0.24
84   96 0.27220   0.21
85   97 0.27750   0.20
86   99 0.28280   0.18
87   98 0.28800   0.16
88   99 0.29300   0.15
89  102 0.29790   0.13
90  103 0.30270   0.12
91  105 0.30740   0.11
92  104 0.31200   0.10
93  104 0.31630   0.09
94  105 0.32070   0.08
95  105 0.32490   0.08
96  106 0.32900   0.07
97  105 0.33300   0.06
98  105 0.33690   0.06
99  105 0.34060   0.05
100 105 0.34430   0.05
