
Call:  glmnet(x = x, y = y, alpha = 0.1, family = "gaussian", standardize = FALSE) 

    Df    %Dev Lambda
1    0 0.00000 48.400
2    1 0.00639 44.100
3    1 0.01190 40.180
4    1 0.01664 36.610
5    1 0.02071 33.360
6    1 0.02420 30.400
7    1 0.02717 27.700
8    1 0.02970 25.240
9    2 0.03207 23.000
10   3 0.03476 20.950
11   3 0.03762 19.090
12   3 0.04003 17.400
13   4 0.04213 15.850
14   4 0.04393 14.440
15   4 0.04545 13.160
16   4 0.04673 11.990
17   4 0.04780 10.920
18   5 0.04892  9.954
19   6 0.05060  9.070
20   7 0.05209  8.264
21   7 0.05366  7.530
22   7 0.05498  6.861
23   7 0.05609  6.251
24   7 0.05703  5.696
25   9 0.05801  5.190
26   9 0.05922  4.729
27   9 0.06026  4.309
28  10 0.06120  3.926
29  11 0.06208  3.577
30  12 0.06305  3.260
31  13 0.06394  2.970
32  12 0.06472  2.706
33  13 0.06539  2.466
34  15 0.06642  2.247
35  15 0.06735  2.047
36  15 0.06815  1.865
37  15 0.06884  1.700
38  17 0.07105  1.549
39  21 0.07526  1.411
40  22 0.08063  1.286
41  22 0.08605  1.171
42  22 0.09138  1.067
43  25 0.09765  0.972
44  26 0.10450  0.886
45  27 0.11160  0.807
46  30 0.11900  0.736
47  31 0.12660  0.670
48  33 0.13440  0.611
49  36 0.14280  0.556
50  38 0.15140  0.507
51  44 0.16050  0.462
52  44 0.16980  0.421
53  46 0.17880  0.384
54  48 0.18770  0.350
55  50 0.19670  0.318
56  54 0.20550  0.290
57  54 0.21420  0.264
58  54 0.22250  0.241
59  56 0.23050  0.220
60  59 0.23820  0.200
61  60 0.24590  0.182
62  62 0.25310  0.166
63  67 0.26020  0.151
64  68 0.26720  0.138
65  68 0.27400  0.126
66  69 0.28070  0.114
67  69 0.28710  0.104
68  71 0.29330  0.095
69  73 0.29940  0.087
70  76 0.30520  0.079
71  74 0.31070  0.072
72  76 0.31610  0.065
73  75 0.32120  0.060
74  78 0.32620  0.054
75  79 0.33090  0.050
76  80 0.33560  0.045
77  80 0.34000  0.041
78  81 0.34440  0.037
79  82 0.34840  0.034
80  80 0.35230  0.031
81  79 0.35570  0.028
82  84 0.35910  0.026
83  86 0.36250  0.024
84  85 0.36580  0.021
85  86 0.36870  0.020
86  88 0.37150  0.018
87  85 0.37420  0.016
88  85 0.37660  0.015
89  87 0.37890  0.013
90  88 0.38110  0.012
91  88 0.38310  0.011
92  89 0.38490  0.010
93  90 0.38650  0.009
94  92 0.38800  0.008
95  91 0.38940  0.008
96  90 0.39070  0.007
97  91 0.39180  0.006
98  91 0.39290  0.006
99  91 0.39380  0.005
100 92 0.39470  0.005
