
Call:  glmnet(x = x, y = y, alpha = 0.45, family = "gaussian", standardize = FALSE) 

    Df    %Dev  Lambda
1    0 0.00000 10.7600
2    1 0.00722  9.8010
3    1 0.01325  8.9300
4    1 0.01828  8.1370
5    1 0.02248  7.4140
6    1 0.02598  6.7550
7    1 0.02890  6.1550
8    1 0.03133  5.6080
9    1 0.03336  5.1100
10   2 0.03541  4.6560
11   3 0.03808  4.2420
12   3 0.04054  3.8660
13   3 0.04258  3.5220
14   3 0.04428  3.2090
15   4 0.04574  2.9240
16   4 0.04701  2.6640
17   4 0.04807  2.4280
18   5 0.04909  2.2120
19   5 0.05071  2.0160
20   6 0.05225  1.8360
21   7 0.05385  1.6730
22   7 0.05520  1.5250
23   7 0.05633  1.3890
24   7 0.05727  1.2660
25   8 0.05807  1.1530
26   9 0.05938  1.0510
27   9 0.06050  0.9575
28   9 0.06143  0.8725
29  11 0.06226  0.7950
30  12 0.06322  0.7243
31  11 0.06412  0.6600
32  12 0.06485  0.6014
33  12 0.06553  0.5479
34  15 0.06669  0.4993
35  15 0.06767  0.4549
36  15 0.06852  0.4145
37  15 0.06920  0.3777
38  17 0.07403  0.3441
39  21 0.08354  0.3135
40  21 0.09516  0.2857
41  22 0.10540  0.2603
42  22 0.11460  0.2372
43  23 0.12560  0.2161
44  26 0.13590  0.1969
45  29 0.14730  0.1794
46  29 0.15940  0.1635
47  31 0.17010  0.1490
48  34 0.17980  0.1357
49  37 0.18930  0.1237
50  39 0.19990  0.1127
51  41 0.21010  0.1027
52  42 0.21960  0.0935
53  43 0.22840  0.0852
54  45 0.23700  0.0777
55  47 0.24620  0.0708
56  48 0.25440  0.0645
57  47 0.26190  0.0588
58  49 0.26910  0.0535
59  53 0.27650  0.0488
60  53 0.28340  0.0444
61  61 0.29050  0.0405
62  61 0.29920  0.0369
63  59 0.30760  0.0336
64  61 0.31580  0.0306
65  62 0.32330  0.0279
66  62 0.33010  0.0254
67  65 0.33650  0.0232
68  65 0.34230  0.0211
69  65 0.34760  0.0192
70  65 0.35240  0.0175
71  67 0.35710  0.0160
72  72 0.36130  0.0146
73  74 0.36550  0.0133
74  77 0.36930  0.0121
75  75 0.37270  0.0110
76  75 0.37560  0.0100
77  78 0.37840  0.0091
78  79 0.38090  0.0083
79  81 0.38310  0.0076
80  80 0.38530  0.0069
81  79 0.38710  0.0063
82  78 0.38870  0.0057
83  81 0.39000  0.0052
84  81 0.39140  0.0048
85  83 0.39250  0.0043
86  84 0.39360  0.0040
87  83 0.39460  0.0036
88  84 0.39540  0.0033
89  85 0.39610  0.0030
90  86 0.39680  0.0027
91  86 0.39730  0.0025
92  87 0.39780  0.0023
93  87 0.39820  0.0021
94  86 0.39850  0.0019
95  88 0.39880  0.0017
96  88 0.39910  0.0016
97  89 0.39940  0.0014
98  89 0.39960  0.0013
99  91 0.39990  0.0012
100 95 0.40010  0.0011
