
Call:  glmnet(x = x, y = y, alpha = 0.25, family = "gaussian", standardize = TRUE) 

    Df    %Dev  Lambda
1    0 0.00000 1.86800
2    1 0.00460 1.70200
3    1 0.00882 1.55100
4    2 0.01433 1.41300
5    2 0.02112 1.28800
6    4 0.02977 1.17300
7    5 0.04104 1.06900
8    6 0.05394 0.97420
9    9 0.06720 0.88770
10  15 0.08393 0.80880
11  23 0.10260 0.73690
12  25 0.12610 0.67150
13  36 0.14860 0.61180
14  39 0.16980 0.55750
15  42 0.18860 0.50800
16  49 0.20650 0.46280
17  51 0.22240 0.42170
18  54 0.23730 0.38420
19  61 0.25020 0.35010
20  64 0.26160 0.31900
21  67 0.27160 0.29070
22  71 0.28020 0.26480
23  71 0.28780 0.24130
24  73 0.29430 0.21990
25  74 0.29980 0.20030
26  74 0.30460 0.18250
27  76 0.30870 0.16630
28  76 0.31220 0.15160
29  80 0.31510 0.13810
30  79 0.31790 0.12580
31  79 0.32030 0.11460
32  79 0.32240 0.10450
33  80 0.32410 0.09518
34  80 0.32560 0.08673
35  82 0.32690 0.07902
36  83 0.32800 0.07200
37  81 0.32900 0.06560
38  83 0.32980 0.05978
39  82 0.33050 0.05447
40  82 0.33120 0.04963
41  81 0.33180 0.04522
42  84 0.33230 0.04120
43  83 0.33280 0.03754
44  83 0.33320 0.03421
45  85 0.33350 0.03117
46  87 0.33380 0.02840
47  87 0.33410 0.02588
48  86 0.33430 0.02358
49  88 0.33460 0.02148
50  88 0.33480 0.01957
51  89 0.33490 0.01784
52  90 0.33510 0.01625
53  89 0.33520 0.01481
54  90 0.33530 0.01349
55  90 0.33540 0.01229
56  90 0.33550 0.01120
57  92 0.33560 0.01021
58  92 0.33570 0.00930
59  96 0.33570 0.00847
60  95 0.33580 0.00772
61  95 0.33590 0.00704
62  94 0.33590 0.00641
63  96 0.33600 0.00584
64  97 0.33600 0.00532
65  98 0.33610 0.00485
66 100 0.33610 0.00442
67 105 0.33620 0.00402
68 107 0.33620 0.00367
69 107 0.33620 0.00334
70 110 0.33630 0.00304
71 109 0.33630 0.00278
72 110 0.33630 0.00253
73 109 0.33640 0.00230
74 109 0.33640 0.00210
75 114 0.33640 0.00191
76 115 0.33640 0.00174
77 114 0.33640 0.00159
78 115 0.33640 0.00145
79 115 0.33640 0.00132
80 115 0.33640 0.00120
81 116 0.33650 0.00109
82 116 0.33650 0.00100
83 117 0.33650 0.00091
84 118 0.33650 0.00083
85 118 0.33650 0.00075
86 120 0.33650 0.00069
87 123 0.33650 0.00063
88 125 0.33650 0.00057
89 125 0.33650 0.00052
