
Call:  glmnet(x = x, y = y, alpha = 1, family = "gaussian", standardize = TRUE) 

    Df    %Dev  Lambda
1    0 0.00000 0.46710
2    1 0.00704 0.42560
3    1 0.01289 0.38780
4    2 0.02059 0.35340
5    2 0.02925 0.32200
6    4 0.04036 0.29340
7    5 0.05432 0.26730
8    6 0.06966 0.24360
9   10 0.08418 0.22190
10  14 0.10260 0.20220
11  20 0.12530 0.18420
12  25 0.15030 0.16790
13  30 0.17350 0.15300
14  34 0.19480 0.13940
15  38 0.21270 0.12700
16  43 0.22810 0.11570
17  45 0.24280 0.10540
18  48 0.25640 0.09606
19  49 0.26790 0.08753
20  51 0.27760 0.07975
21  54 0.28590 0.07267
22  55 0.29290 0.06621
23  60 0.29880 0.06033
24  64 0.30390 0.05497
25  67 0.30820 0.05009
26  67 0.31190 0.04564
27  67 0.31490 0.04158
28  68 0.31750 0.03789
29  66 0.32000 0.03452
30  71 0.32210 0.03146
31  72 0.32400 0.02866
32  72 0.32550 0.02612
33  72 0.32680 0.02380
34  75 0.32790 0.02168
35  78 0.32890 0.01976
36  77 0.32990 0.01800
37  76 0.33060 0.01640
38  77 0.33130 0.01494
39  78 0.33180 0.01362
40  78 0.33230 0.01241
41  77 0.33280 0.01130
42  77 0.33320 0.01030
43  78 0.33350 0.00938
44  79 0.33380 0.00855
45  81 0.33400 0.00779
46  83 0.33430 0.00710
47  83 0.33450 0.00647
48  84 0.33470 0.00589
49  83 0.33480 0.00537
50  83 0.33500 0.00489
51  85 0.33520 0.00446
52  85 0.33530 0.00406
53  84 0.33540 0.00370
54  85 0.33550 0.00337
55  85 0.33550 0.00307
56  88 0.33560 0.00280
57  88 0.33570 0.00255
58  88 0.33570 0.00232
59  91 0.33580 0.00212
60  92 0.33590 0.00193
61  92 0.33590 0.00176
62  91 0.33600 0.00160
63  93 0.33600 0.00146
64  96 0.33610 0.00133
65  99 0.33610 0.00121
66 100 0.33620 0.00110
67 104 0.33620 0.00101
68 101 0.33630 0.00092
69 101 0.33630 0.00084
70 103 0.33630 0.00076
71 103 0.33630 0.00069
72 107 0.33640 0.00063
73 107 0.33640 0.00058
74 108 0.33640 0.00052
75 109 0.33640 0.00048
76 112 0.33640 0.00044
77 112 0.33640 0.00040
78 113 0.33650 0.00036
79 116 0.33650 0.00033
80 116 0.33650 0.00030
81 116 0.33650 0.00027
82 116 0.33650 0.00025
83 117 0.33650 0.00023
84 118 0.33650 0.00021
85 118 0.33650 0.00019
86 119 0.33650 0.00017
87 120 0.33650 0.00016
88 121 0.33650 0.00014
89 121 0.33650 0.00013
