
Call:  glmnet(x = x, y = y, alpha = 0.8, family = "gaussian", standardize = TRUE) 

   Df    %Dev  Lambda
1   0 0.00000 0.79280
2   2 0.01322 0.72230
3   3 0.02485 0.65820
4   3 0.03463 0.59970
5   5 0.04792 0.54640
6   7 0.06135 0.49790
7   9 0.07268 0.45370
8  10 0.08236 0.41340
9  12 0.09069 0.37660
10 12 0.09840 0.34320
11 11 0.10490 0.31270
12 11 0.11030 0.28490
13 11 0.11490 0.25960
14 13 0.11870 0.23650
15 13 0.12210 0.21550
16 14 0.12480 0.19640
17 12 0.12730 0.17890
18 12 0.12950 0.16300
19 13 0.13140 0.14860
20 14 0.13290 0.13540
21 14 0.13430 0.12330
22 15 0.13540 0.11240
23 16 0.13640 0.10240
24 16 0.13730 0.09329
25 15 0.13790 0.08501
26 15 0.13850 0.07745
27 16 0.13900 0.07057
28 15 0.13940 0.06430
29 15 0.13980 0.05859
30 14 0.14010 0.05339
31 14 0.14030 0.04864
32 15 0.14050 0.04432
33 15 0.14070 0.04039
34 16 0.14090 0.03680
35 16 0.14100 0.03353
36 15 0.14110 0.03055
37 15 0.14120 0.02784
38 14 0.14130 0.02536
39 15 0.14130 0.02311
40 14 0.14140 0.02106
41 14 0.14140 0.01919
42 14 0.14140 0.01748
43 14 0.14150 0.01593
44 14 0.14150 0.01451
45 14 0.14150 0.01322
46 14 0.14150 0.01205
47 14 0.14150 0.01098
48 14 0.14150 0.01000
49 14 0.14160 0.00912
50 14 0.14160 0.00830
51 15 0.14160 0.00757
52 16 0.14160 0.00690
53 17 0.14160 0.00628
54 17 0.14160 0.00572
55 17 0.14170 0.00522
56 17 0.14170 0.00475
57 16 0.14170 0.00433
58 16 0.14170 0.00395
59 17 0.14170 0.00360
60 17 0.14170 0.00328
61 17 0.14170 0.00298
62 17 0.14170 0.00272
63 18 0.14180 0.00248
64 19 0.14180 0.00226
65 21 0.14180 0.00206
66 21 0.14180 0.00188
67 23 0.14180 0.00171
68 24 0.14180 0.00156
69 24 0.14180 0.00142
70 27 0.14180 0.00129
71 28 0.14180 0.00118
72 29 0.14180 0.00107
73 29 0.14180 0.00098
74 29 0.14180 0.00089
75 29 0.14180 0.00081
76 29 0.14180 0.00074
77 29 0.14180 0.00067
78 30 0.14180 0.00061
79 30 0.14180 0.00056
80 30 0.14180 0.00051
