
Call:  glmnet(x = x, y = y, alpha = 0.5, family = "gaussian", standardize = FALSE) 

    Df     %Dev  Lambda
1    0 0.000000 12.9300
2    1 0.003683 11.7800
3    1 0.006747 10.7400
4    1 0.009294  9.7840
5    1 0.011410  8.9150
6    1 0.013170  8.1230
7    1 0.014640  7.4010
8    1 0.015850  6.7440
9    1 0.016860  6.1440
10   1 0.017700  5.5990
11   1 0.018400  5.1010
12   1 0.018980  4.6480
13   3 0.019680  4.2350
14   3 0.022980  3.8590
15   4 0.025950  3.5160
16   5 0.029620  3.2040
17   5 0.032760  2.9190
18   5 0.035390  2.6600
19   5 0.037560  2.4230
20   5 0.039380  2.2080
21   5 0.040890  2.0120
22   5 0.042140  1.8330
23   5 0.043190  1.6700
24   5 0.044060  1.5220
25   6 0.045010  1.3870
26   7 0.046020  1.2640
27   8 0.047180  1.1510
28   8 0.048320  1.0490
29   8 0.049270  0.9559
30   9 0.050170  0.8710
31   9 0.051050  0.7936
32   9 0.051760  0.7231
33  10 0.052400  0.6588
34  10 0.052980  0.6003
35  10 0.053450  0.5470
36  11 0.053970  0.4984
37  10 0.054550  0.4541
38  10 0.054850  0.4138
39  11 0.055230  0.3770
40  14 0.056260  0.3435
41  15 0.062010  0.3130
42  16 0.069780  0.2852
43  17 0.077390  0.2599
44  18 0.085180  0.2368
45  19 0.095210  0.2157
46  19 0.104200  0.1966
47  19 0.112100  0.1791
48  20 0.119800  0.1632
49  20 0.127500  0.1487
50  21 0.134400  0.1355
51  22 0.141400  0.1235
52  24 0.148800  0.1125
53  27 0.156600  0.1025
54  28 0.163800  0.0934
55  27 0.170700  0.0851
56  29 0.176700  0.0775
57  30 0.182500  0.0706
58  33 0.188200  0.0644
59  34 0.194300  0.0586
60  36 0.201000  0.0534
61  37 0.206900  0.0487
62  42 0.213100  0.0444
63  44 0.219000  0.0404
64  45 0.225800  0.0368
65  44 0.231900  0.0336
66  47 0.237800  0.0306
67  49 0.243500  0.0279
68  48 0.248700  0.0254
69  49 0.253300  0.0231
70  49 0.257600  0.0211
71  50 0.261600  0.0192
72  50 0.265100  0.0175
73  51 0.268200  0.0159
74  51 0.271000  0.0145
75  52 0.273400  0.0132
76  52 0.275500  0.0121
77  54 0.277400  0.0110
78  54 0.279100  0.0100
79  54 0.280600  0.0091
80  55 0.281900  0.0083
81  55 0.283100  0.0076
82  56 0.284000  0.0069
83  55 0.284900  0.0063
84  57 0.285600  0.0057
85  57 0.286200  0.0052
86  58 0.286700  0.0048
87  58 0.287200  0.0043
88  58 0.287600  0.0040
89  58 0.287900  0.0036
90  59 0.288200  0.0033
91  59 0.288400  0.0030
92  61 0.288600  0.0027
93  61 0.288800  0.0025
94  60 0.288900  0.0023
95  60 0.289000  0.0021
96  60 0.289100  0.0019
97  61 0.289200  0.0017
98  60 0.289300  0.0016
99  60 0.289300  0.0014
100 60 0.289400  0.0013
