
Call:  glmnet(x = x, y = y, alpha = 0.55, family = "gaussian", standardize = TRUE) 

   Df     %Dev  Lambda
1   0 0.000000 0.77190
2   2 0.008713 0.70340
3   2 0.019450 0.64090
4   2 0.028680 0.58390
5   5 0.040170 0.53210
6   6 0.052560 0.48480
7   7 0.067470 0.44170
8   9 0.080470 0.40250
9  10 0.093670 0.36670
10 14 0.105800 0.33410
11 19 0.119400 0.30450
12 22 0.135100 0.27740
13 25 0.150500 0.25280
14 28 0.164700 0.23030
15 29 0.177200 0.20990
16 32 0.188600 0.19120
17 36 0.198900 0.17420
18 37 0.210800 0.15870
19 40 0.220900 0.14460
20 49 0.230200 0.13180
21 52 0.238200 0.12010
22 53 0.244900 0.10940
23 53 0.250600 0.09970
24 54 0.255300 0.09084
25 57 0.259700 0.08277
26 57 0.263900 0.07542
27 57 0.267600 0.06872
28 56 0.270700 0.06261
29 58 0.273300 0.05705
30 59 0.275600 0.05198
31 59 0.277500 0.04736
32 57 0.279100 0.04316
33 56 0.280400 0.03932
34 57 0.281500 0.03583
35 57 0.282400 0.03265
36 58 0.283100 0.02975
37 58 0.283800 0.02710
38 58 0.284400 0.02470
39 58 0.285000 0.02250
40 58 0.285500 0.02050
41 59 0.285900 0.01868
42 59 0.286300 0.01702
43 59 0.286600 0.01551
44 59 0.286900 0.01413
45 59 0.287100 0.01288
46 60 0.287300 0.01173
47 60 0.287600 0.01069
48 62 0.287800 0.00974
49 62 0.288000 0.00887
50 62 0.288200 0.00809
51 64 0.288400 0.00737
52 64 0.288600 0.00671
53 64 0.288700 0.00612
54 64 0.288900 0.00557
55 64 0.289000 0.00508
56 64 0.289000 0.00463
57 63 0.289100 0.00422
58 64 0.289200 0.00384
59 65 0.289300 0.00350
60 67 0.289300 0.00319
61 67 0.289300 0.00291
62 69 0.289400 0.00265
63 68 0.289400 0.00241
64 71 0.289500 0.00220
65 71 0.289500 0.00200
66 72 0.289500 0.00182
67 72 0.289500 0.00166
68 71 0.289500 0.00152
69 72 0.289600 0.00138
70 72 0.289600 0.00126
71 72 0.289600 0.00115
72 73 0.289600 0.00104
73 74 0.289600 0.00095
74 74 0.289600 0.00087
75 74 0.289600 0.00079
76 75 0.289600 0.00072
77 76 0.289600 0.00066
78 76 0.289600 0.00060
