
Call:  glmnet(x = x, y = y, alpha = 0.65, family = "gaussian", standardize = FALSE) 

    Df     %Dev Lambda
1    0 0.000000 9.9490
2    1 0.003694 9.0650
3    1 0.006763 8.2600
4    1 0.009314 7.5260
5    1 0.011430 6.8570
6    1 0.013190 6.2480
7    1 0.014660 5.6930
8    1 0.015870 5.1870
9    1 0.016880 4.7260
10   1 0.017720 4.3070
11   1 0.018420 3.9240
12   1 0.018990 3.5750
13   3 0.019650 3.2580
14   3 0.022990 2.9680
15   4 0.025990 2.7050
16   5 0.029660 2.4640
17   5 0.032810 2.2450
18   5 0.035440 2.0460
19   5 0.037610 1.8640
20   5 0.039430 1.6990
21   5 0.040930 1.5480
22   5 0.042190 1.4100
23   5 0.043220 1.2850
24   5 0.044090 1.1710
25   6 0.045030 1.0670
26   7 0.046030 0.9720
27   8 0.047180 0.8857
28   8 0.048330 0.8070
29   8 0.049280 0.7353
30   9 0.050170 0.6700
31   9 0.051050 0.6105
32   9 0.051760 0.5562
33  10 0.052410 0.5068
34  10 0.052990 0.4618
35  10 0.053460 0.4208
36  11 0.053990 0.3834
37  10 0.054560 0.3493
38  10 0.054850 0.3183
39  11 0.055240 0.2900
40  14 0.056360 0.2642
41  15 0.062930 0.2408
42  16 0.071560 0.2194
43  16 0.079780 0.1999
44  18 0.088280 0.1821
45  19 0.098670 0.1660
46  19 0.107900 0.1512
47  19 0.115800 0.1378
48  20 0.124000 0.1255
49  20 0.131700 0.1144
50  22 0.138600 0.1042
51  22 0.145600 0.0950
52  24 0.152600 0.0865
53  26 0.160100 0.0788
54  27 0.167500 0.0718
55  27 0.174300 0.0655
56  28 0.180000 0.0596
57  29 0.185400 0.0543
58  33 0.190800 0.0495
59  34 0.196900 0.0451
60  36 0.203800 0.0411
61  37 0.209900 0.0375
62  41 0.216200 0.0341
63  44 0.222400 0.0311
64  45 0.229600 0.0283
65  45 0.236100 0.0258
66  47 0.242300 0.0235
67  48 0.247900 0.0214
68  48 0.253100 0.0195
69  48 0.257400 0.0178
70  49 0.261600 0.0162
71  51 0.265400 0.0148
72  50 0.268700 0.0135
73  49 0.271600 0.0123
74  51 0.274000 0.0112
75  52 0.276100 0.0102
76  53 0.278000 0.0093
77  54 0.279700 0.0085
78  55 0.281100 0.0077
79  54 0.282400 0.0070
80  55 0.283500 0.0064
81  56 0.284500 0.0058
82  56 0.285300 0.0053
83  55 0.286000 0.0048
84  57 0.286500 0.0044
85  58 0.287000 0.0040
86  58 0.287400 0.0037
87  58 0.287800 0.0033
88  58 0.288100 0.0030
89  58 0.288300 0.0028
90  57 0.288600 0.0025
91  57 0.288700 0.0023
92  58 0.288900 0.0021
93  58 0.289000 0.0019
94  58 0.289100 0.0017
95  58 0.289200 0.0016
96  57 0.289300 0.0014
97  57 0.289300 0.0013
98  57 0.289400 0.0012
99  58 0.289400 0.0011
100 58 0.289500 0.0010
