
Call:  glmnet(x = x, y = y, alpha = 0.03, family = "gaussian", standardize = FALSE) 

    Df    %Dev  Lambda
1    0 0.00000 181.400
2    1 0.00703 165.300
3    1 0.01376 150.600
4    1 0.02016 137.200
5    1 0.02620 125.000
6    1 0.03188 113.900
7    1 0.03718 103.800
8    1 0.04209  94.570
9    1 0.04661  86.170
10   1 0.05075  78.510
11   1 0.05453  71.540
12   1 0.05794  65.180
13   1 0.06102  59.390
14   1 0.06378  54.120
15   2 0.06636  49.310
16   2 0.06889  44.930
17   3 0.07115  40.940
18   3 0.07323  37.300
19   3 0.07503  33.990
20   3 0.07659  30.970
21   6 0.07819  28.220
22   6 0.08025  25.710
23   7 0.08215  23.430
24   7 0.08384  21.340
25   7 0.08536  19.450
26   7 0.08673  17.720
27   8 0.08796  16.150
28   8 0.08921  14.710
29   8 0.09034  13.400
30   8 0.09136  12.210
31   8 0.09229  11.130
32   8 0.09312  10.140
33   8 0.09388   9.239
34   9 0.09487   8.419
35  10 0.09615   7.671
36  10 0.09750   6.989
37  10 0.09883   6.368
38  10 0.10020   5.803
39  11 0.10190   5.287
40  11 0.10370   4.817
41  12 0.10570   4.390
42  13 0.10810   4.000
43  13 0.11070   3.644
44  13 0.11340   3.321
45  14 0.11620   3.026
46  15 0.11930   2.757
47  15 0.12270   2.512
48  15 0.12620   2.289
49  16 0.12980   2.085
50  17 0.13360   1.900
51  17 0.13760   1.731
52  17 0.14160   1.578
53  17 0.14580   1.437
54  17 0.15010   1.310
55  17 0.15440   1.193
56  18 0.15890   1.087
57  18 0.16330   0.991
58  18 0.16780   0.903
59  19 0.17230   0.822
60  19 0.17690   0.749
61  19 0.18140   0.683
62  19 0.18580   0.622
63  20 0.19020   0.567
64  23 0.19460   0.517
65  23 0.19890   0.471
66  23 0.20300   0.429
67  23 0.20710   0.391
68  23 0.21110   0.356
69  23 0.21490   0.324
70  23 0.21850   0.296
71  23 0.22200   0.269
72  23 0.22530   0.245
73  23 0.22850   0.224
74  23 0.23160   0.204
75  23 0.23440   0.186
76  23 0.23710   0.169
77  23 0.23970   0.154
78  23 0.24200   0.140
79  24 0.24430   0.128
80  24 0.24630   0.117
81  24 0.24820   0.106
82  25 0.25000   0.097
83  25 0.25170   0.088
84  25 0.25320   0.080
85  24 0.25450   0.073
86  25 0.25580   0.067
87  25 0.25690   0.061
88  25 0.25800   0.055
89  25 0.25890   0.050
90  24 0.25980   0.046
91  24 0.26050   0.042
92  25 0.26110   0.038
93  25 0.26180   0.035
94  26 0.26230   0.032
95  26 0.26280   0.029
96  26 0.26330   0.026
97  26 0.26360   0.024
98  26 0.26400   0.022
99  27 0.26430   0.020
100 27 0.26450   0.018
