
Call:  glmnet(x = x, y = y, alpha = 0.75, family = "gaussian", standardize = TRUE) 

   Df    %Dev  Lambda
1   0 0.00000 0.92330
2   1 0.01383 0.84130
3   2 0.02586 0.76660
4   3 0.04037 0.69850
5   4 0.05890 0.63640
6   5 0.07521 0.57990
7   6 0.09518 0.52840
8   6 0.11210 0.48140
9   7 0.12630 0.43870
10  9 0.14050 0.39970
11  9 0.15480 0.36420
12 10 0.16830 0.33180
13 13 0.18260 0.30230
14 13 0.19600 0.27550
15 13 0.20730 0.25100
16 13 0.21670 0.22870
17 15 0.22460 0.20840
18 15 0.23140 0.18990
19 15 0.23700 0.17300
20 15 0.24170 0.15760
21 16 0.24560 0.14360
22 16 0.24890 0.13090
23 16 0.25170 0.11930
24 16 0.25390 0.10870
25 16 0.25580 0.09900
26 17 0.25750 0.09021
27 17 0.25880 0.08220
28 18 0.26000 0.07489
29 18 0.26090 0.06824
30 18 0.26170 0.06218
31 18 0.26240 0.05665
32 18 0.26290 0.05162
33 19 0.26330 0.04704
34 18 0.26370 0.04286
35 18 0.26400 0.03905
36 19 0.26430 0.03558
37 19 0.26450 0.03242
38 20 0.26470 0.02954
39 20 0.26490 0.02692
40 21 0.26510 0.02452
41 21 0.26520 0.02235
42 21 0.26540 0.02036
43 21 0.26550 0.01855
44 20 0.26560 0.01690
45 20 0.26570 0.01540
46 20 0.26580 0.01403
47 20 0.26590 0.01279
48 20 0.26590 0.01165
49 21 0.26590 0.01062
50 21 0.26600 0.00967
51 21 0.26600 0.00881
52 21 0.26600 0.00803
53 23 0.26610 0.00732
54 23 0.26610 0.00667
55 23 0.26610 0.00608
56 23 0.26610 0.00554
57 23 0.26610 0.00504
58 24 0.26610 0.00460
59 23 0.26610 0.00419
60 23 0.26610 0.00382
61 24 0.26610 0.00348
62 24 0.26610 0.00317
63 24 0.26610 0.00289
64 24 0.26610 0.00263
65 23 0.26610 0.00240
