
Call:  glmnet(x = x, y = y, alpha = 0.65, family = "gaussian", standardize = FALSE) 

     Df    %Dev Lambda
1     0 0.00000 4.3220
2     2 0.00391 3.9380
3     2 0.00748 3.5890
4     4 0.01085 3.2700
5     4 0.01450 2.9790
6     5 0.01762 2.7150
7     5 0.02063 2.4730
8     5 0.02313 2.2540
9     6 0.02524 2.0540
10    6 0.02714 1.8710
11    6 0.02871 1.7050
12    6 0.03002 1.5530
13    7 0.03141 1.4150
14    7 0.03266 1.2900
15    7 0.03370 1.1750
16    8 0.03467 1.0710
17   11 0.03550 0.9756
18   11 0.03746 0.8889
19   12 0.03907 0.8099
20   12 0.04030 0.7380
21   12 0.04134 0.6724
22   12 0.04219 0.6127
23   12 0.04292 0.5583
24   15 0.04365 0.5087
25   16 0.04463 0.4635
26   16 0.04541 0.4223
27   17 0.05476 0.3848
28   18 0.06383 0.3506
29   18 0.07190 0.3195
30   20 0.07903 0.2911
31   23 0.08880 0.2652
32   23 0.10040 0.2417
33   23 0.11040 0.2202
34   24 0.11950 0.2006
35   25 0.13070 0.1828
36   27 0.14510 0.1666
37   29 0.15920 0.1518
38   32 0.17390 0.1383
39   33 0.18830 0.1260
40   33 0.20160 0.1148
41   33 0.21310 0.1046
42   35 0.22390 0.0953
43   37 0.23700 0.0868
44   39 0.25180 0.0791
45   41 0.26470 0.0721
46   42 0.27590 0.0657
47   44 0.28610 0.0599
48   46 0.29580 0.0545
49   50 0.30450 0.0497
50   51 0.31300 0.0453
51   51 0.32010 0.0413
52   51 0.32640 0.0376
53   55 0.33240 0.0342
54   57 0.33950 0.0312
55   61 0.34880 0.0284
56   66 0.35990 0.0259
57   68 0.37290 0.0236
58   71 0.38450 0.0215
59   70 0.39560 0.0196
60   70 0.40550 0.0179
61   70 0.41410 0.0163
62   71 0.42170 0.0148
63   73 0.42830 0.0135
64   75 0.43430 0.0123
65   75 0.43960 0.0112
66   77 0.44430 0.0102
67   80 0.44840 0.0093
68   82 0.45220 0.0085
69   84 0.45550 0.0077
70   85 0.45820 0.0070
71   85 0.46090 0.0064
72   86 0.46320 0.0058
73   89 0.46520 0.0053
74   88 0.46700 0.0049
75   89 0.46870 0.0044
76   90 0.47020 0.0040
77   93 0.47140 0.0037
78   93 0.47260 0.0033
79   93 0.47360 0.0030
80   93 0.47440 0.0028
81   94 0.47510 0.0025
82   94 0.47570 0.0023
83   94 0.47620 0.0021
84   94 0.47660 0.0019
85   95 0.47700 0.0017
86   95 0.47730 0.0016
87   95 0.47760 0.0014
88   95 0.47780 0.0013
89   95 0.47800 0.0012
90   95 0.47810 0.0011
91   96 0.47820 0.0010
92   97 0.47830 0.0009
93   97 0.47840 0.0008
94   97 0.47850 0.0008
95   95 0.47860 0.0007
96   95 0.47860 0.0006
97   97 0.47870 0.0006
98  100 0.47870 0.0005
99  101 0.47880 0.0005
100  99 0.47880 0.0004
