
Call:  glmnet(x = x, y = y, alpha = 0.03, family = "gaussian", standardize = TRUE) 

    Df     %Dev Lambda
1    0 0.000000 7.7200
2    3 0.000789 7.0340
3    8 0.002802 6.4100
4   14 0.005799 5.8400
5   26 0.010160 5.3210
6   31 0.015250 4.8490
7   37 0.020210 4.4180
8   45 0.025260 4.0250
9   56 0.030540 3.6680
10  59 0.035650 3.3420
11  59 0.040350 3.0450
12  65 0.044620 2.7750
13  65 0.048540 2.5280
14  69 0.052120 2.3030
15  72 0.055590 2.0990
16  74 0.058970 1.9120
17  77 0.062050 1.7420
18  76 0.064890 1.5880
19  78 0.067500 1.4470
20  81 0.070070 1.3180
21  81 0.072440 1.2010
22  87 0.074650 1.0940
23  92 0.076750 0.9971
24  92 0.078680 0.9085
25  92 0.080440 0.8278
26  99 0.082150 0.7543
27 101 0.083810 0.6873
28 103 0.085340 0.6262
29 106 0.086810 0.5706
30 107 0.088170 0.5199
31 109 0.089480 0.4737
32 114 0.090750 0.4316
33 121 0.091980 0.3933
34 121 0.093120 0.3583
35 121 0.094180 0.3265
36 125 0.095110 0.2975
37 127 0.095990 0.2711
38 127 0.096800 0.2470
39 130 0.097520 0.2251
40 132 0.098230 0.2051
41 133 0.098820 0.1868
42 135 0.099380 0.1702
43 138 0.099910 0.1551
44 138 0.100400 0.1413
45 137 0.100800 0.1288
46 135 0.101100 0.1173
47 135 0.101500 0.1069
48 136 0.101800 0.0974
49 138 0.102000 0.0888
50 139 0.102200 0.0809
51 143 0.102400 0.0737
52 144 0.102600 0.0672
53 145 0.102700 0.0612
54 149 0.102900 0.0558
55 149 0.103000 0.0508
56 149 0.103100 0.0463
57 149 0.103200 0.0422
58 148 0.103200 0.0384
59 149 0.103300 0.0350
60 153 0.103400 0.0319
61 152 0.103400 0.0291
62 152 0.103400 0.0265
63 151 0.103500 0.0241
64 152 0.103500 0.0220
65 153 0.103500 0.0200
66 155 0.103600 0.0182
67 157 0.103600 0.0166
68 159 0.103600 0.0152
69 159 0.103600 0.0138
70 162 0.103600 0.0126
71 163 0.103600 0.0115
72 165 0.103600 0.0104
73 167 0.103600 0.0095
74 169 0.103700 0.0087
75 169 0.103700 0.0079
76 169 0.103700 0.0072
77 169 0.103700 0.0066
78 169 0.103700 0.0060
79 169 0.103700 0.0054
80 169 0.103700 0.0050
81 170 0.103700 0.0045
82 170 0.103700 0.0041
83 170 0.103700 0.0038
84 170 0.103700 0.0034
85 170 0.103700 0.0031
86 170 0.103700 0.0028
