
Call:  glmnet(x = x, y = y, alpha = 0.3, family = "gaussian", standardize = TRUE) 

    Df     %Dev  Lambda
1    0 0.000000 0.77200
2    2 0.002255 0.70340
3    5 0.006073 0.64100
4    9 0.011060 0.58400
5   14 0.016860 0.53210
6   18 0.023340 0.48490
7   20 0.029220 0.44180
8   24 0.034700 0.40250
9   29 0.040330 0.36680
10  31 0.045480 0.33420
11  33 0.050180 0.30450
12  35 0.054530 0.27750
13  35 0.058330 0.25280
14  37 0.061870 0.23030
15  40 0.065160 0.20990
16  44 0.068420 0.19120
17  46 0.071470 0.17420
18  49 0.074110 0.15880
19  48 0.076460 0.14470
20  52 0.078580 0.13180
21  54 0.080820 0.12010
22  57 0.082890 0.10940
23  59 0.084920 0.09971
24  57 0.086630 0.09085
25  59 0.088230 0.08278
26  61 0.089640 0.07543
27  62 0.090910 0.06873
28  67 0.092040 0.06262
29  73 0.093220 0.05706
30  74 0.094330 0.05199
31  75 0.095340 0.04737
32  76 0.096210 0.04316
33  77 0.097020 0.03933
34  77 0.097790 0.03583
35  79 0.098460 0.03265
36  81 0.099050 0.02975
37  82 0.099590 0.02711
38  86 0.100100 0.02470
39  87 0.100600 0.02251
40  89 0.101000 0.02051
41  89 0.101400 0.01868
42  91 0.101700 0.01702
43  95 0.102000 0.01551
44  94 0.102300 0.01413
45  97 0.102500 0.01288
46  98 0.102700 0.01173
47  98 0.102800 0.01069
48  97 0.103000 0.00974
49  95 0.103100 0.00888
50  94 0.103200 0.00809
51  95 0.103200 0.00737
52  96 0.103300 0.00672
53  97 0.103400 0.00612
54  99 0.103400 0.00558
55 101 0.103400 0.00508
56 103 0.103500 0.00463
57 105 0.103500 0.00422
58 106 0.103500 0.00384
59 108 0.103600 0.00350
60 111 0.103600 0.00319
61 112 0.103600 0.00291
62 113 0.103600 0.00265
63 115 0.103600 0.00241
64 118 0.103600 0.00220
65 119 0.103600 0.00200
66 119 0.103600 0.00182
67 119 0.103600 0.00166
68 120 0.103700 0.00152
69 123 0.103700 0.00138
70 124 0.103700 0.00126
71 125 0.103700 0.00115
72 125 0.103700 0.00104
73 127 0.103700 0.00095
74 127 0.103700 0.00087
75 129 0.103700 0.00079
76 130 0.103700 0.00072
77 130 0.103700 0.00066
78 131 0.103700 0.00060
79 131 0.103700 0.00054
