
Call:  glmnet(x = x, y = y, alpha = 0.35, family = "gaussian", standardize = FALSE) 

     Df     %Dev Lambda
1     0 0.000000 8.0530
2     1 0.001666 7.3380
3     1 0.003054 6.6860
4     1 0.004209 6.0920
5     1 0.005172 5.5510
6     1 0.005973 5.0580
7     3 0.007779 4.6080
8     3 0.010090 4.1990
9     5 0.012540 3.8260
10    5 0.014890 3.4860
11    6 0.016860 3.1760
12    6 0.018780 2.8940
13    6 0.020370 2.6370
14    8 0.021980 2.4030
15   10 0.023760 2.1890
16   13 0.026740 1.9950
17   14 0.029630 1.8180
18   14 0.032500 1.6560
19   16 0.035100 1.5090
20   19 0.037930 1.3750
21   19 0.040820 1.2530
22   20 0.043250 1.1420
23   22 0.045750 1.0400
24   26 0.049220 0.9477
25   26 0.052650 0.8635
26   27 0.055490 0.7868
27   29 0.058300 0.7169
28   32 0.060850 0.6532
29   32 0.063630 0.5952
30   31 0.065830 0.5423
31   32 0.067810 0.4942
32   36 0.070070 0.4503
33   39 0.072320 0.4103
34   43 0.074360 0.3738
35   45 0.076310 0.3406
36   49 0.078350 0.3103
37   50 0.080300 0.2828
38   52 0.081940 0.2577
39   53 0.083610 0.2348
40   56 0.085000 0.2139
41   57 0.086350 0.1949
42   62 0.087640 0.1776
43   65 0.088880 0.1618
44   66 0.089920 0.1474
45   68 0.090960 0.1343
46   70 0.091990 0.1224
47   73 0.093080 0.1115
48   76 0.094060 0.1016
49   76 0.095100 0.0926
50   75 0.096040 0.0844
51   75 0.096840 0.0769
52   80 0.097600 0.0700
53   84 0.098400 0.0638
54   88 0.099150 0.0582
55   88 0.099770 0.0530
56   88 0.100300 0.0483
57   89 0.100800 0.0440
58   90 0.101200 0.0401
59   89 0.101500 0.0365
60   91 0.101800 0.0333
61   92 0.102000 0.0303
62   95 0.102200 0.0276
63   97 0.102400 0.0252
64   97 0.102600 0.0229
65   98 0.102800 0.0209
66  100 0.102900 0.0190
67  100 0.103000 0.0174
68  100 0.103100 0.0158
69   99 0.103200 0.0144
70  101 0.103300 0.0131
71  101 0.103300 0.0120
72   99 0.103400 0.0109
73  100 0.103400 0.0099
74  101 0.103500 0.0090
75  103 0.103500 0.0082
76  105 0.103500 0.0075
77  108 0.103500 0.0068
78  109 0.103500 0.0062
79  111 0.103600 0.0057
80  111 0.103600 0.0052
81  112 0.103600 0.0047
82  112 0.103600 0.0043
83  115 0.103600 0.0039
84  116 0.103600 0.0036
85  121 0.103600 0.0033
86  125 0.103600 0.0030
87  128 0.103600 0.0027
88  130 0.103700 0.0025
89  131 0.103700 0.0022
90  131 0.103700 0.0020
91  131 0.103700 0.0019
92  131 0.103700 0.0017
93  132 0.103700 0.0015
94  133 0.103700 0.0014
95  136 0.103700 0.0013
96  136 0.103700 0.0012
97  135 0.103700 0.0011
98  135 0.103700 0.0010
99  135 0.103700 0.0009
100 135 0.103700 0.0008
