
Call:  glmnet(x = x, y = y, alpha = 0.15, family = "gaussian", standardize = FALSE) 

   Df     %Dev  Lambda
1   0 0.000000 15.0900
2   1 0.000751 13.7500
3   1 0.001378 12.5300
4   1 0.001901 11.4200
5   1 0.002337 10.4000
6   2 0.002828  9.4790
7   2 0.003396  8.6370
8   3 0.004167  7.8700
9   3 0.005180  7.1710
10  3 0.006026  6.5340
11  4 0.006865  5.9530
12  4 0.008424  5.4240
13  4 0.009744  4.9420
14  5 0.010990  4.5030
15  6 0.012410  4.1030
16  6 0.013990  3.7390
17  6 0.015330  3.4070
18  8 0.016560  3.1040
19  8 0.017870  2.8280
20  8 0.018980  2.5770
21  8 0.019910  2.3480
22  8 0.020690  2.1390
23  8 0.021360  1.9490
24  9 0.022050  1.7760
25  9 0.022640  1.6180
26  9 0.023130  1.4750
27 10 0.023550  1.3440
28 11 0.023980  1.2240
29 11 0.024420  1.1150
30 12 0.024810  1.0160
31 13 0.025240  0.9261
32 14 0.026480  0.8438
33 15 0.029630  0.7689
34 17 0.033340  0.7006
35 18 0.037120  0.6383
36 20 0.041340  0.5816
37 22 0.045720  0.5300
38 21 0.049890  0.4829
39 22 0.053690  0.4400
40 21 0.057250  0.4009
41 23 0.060570  0.3653
42 23 0.063620  0.3328
43 23 0.066400  0.3033
44 22 0.068910  0.2763
45 22 0.071160  0.2518
46 22 0.073180  0.2294
47 22 0.074980  0.2090
48 22 0.076580  0.1905
49 25 0.078000  0.1735
50 25 0.079330  0.1581
51 25 0.080510  0.1441
52 26 0.081580  0.1313
53 27 0.082600  0.1196
54 27 0.083470  0.1090
55 27 0.084210  0.0993
56 27 0.084900  0.0905
57 26 0.085490  0.0824
58 27 0.085960  0.0751
59 28 0.086390  0.0684
60 28 0.086780  0.0624
61 28 0.087110  0.0568
62 29 0.087390  0.0518
63 29 0.087620  0.0472
64 29 0.087830  0.0430
65 31 0.088000  0.0392
66 31 0.088150  0.0357
67 32 0.088270  0.0325
68 33 0.088380  0.0296
69 33 0.088470  0.0270
70 35 0.088550  0.0246
71 36 0.088620  0.0224
72 36 0.088680  0.0204
73 36 0.088740  0.0186
74 36 0.088790  0.0170
75 38 0.088830  0.0154
76 39 0.088860  0.0141
77 39 0.088890  0.0128
78 40 0.088920  0.0117
79 40 0.088940  0.0106
80 40 0.088950  0.0097
81 40 0.088970  0.0088
82 41 0.088980  0.0081
83 41 0.088990  0.0073
84 41 0.089000  0.0067
85 41 0.089010  0.0061
86 43 0.089020  0.0056
87 43 0.089020  0.0051
88 43 0.089030  0.0046
89 43 0.089030  0.0042
90 43 0.089040  0.0038
91 44 0.089040  0.0035
92 44 0.089040  0.0032
93 44 0.089040  0.0029
94 44 0.089050  0.0026
95 45 0.089050  0.0024
96 46 0.089050  0.0022
97 47 0.089050  0.0020
98 47 0.089050  0.0018
99 47 0.089050  0.0017
