
Call:  glmnet(x = x, y = y, alpha = 0.55, family = "gaussian", standardize = TRUE) 

   Df     %Dev  Lambda
1   0 0.000000 0.59140
2   1 0.004091 0.53890
3   1 0.007592 0.49100
4   2 0.012310 0.44740
5   2 0.017570 0.40760
6   5 0.022780 0.37140
7   9 0.031730 0.33840
8   9 0.039700 0.30840
9   9 0.046400 0.28100
10  9 0.052020 0.25600
11  9 0.056740 0.23330
12 10 0.060760 0.21250
13 12 0.064180 0.19370
14 13 0.067030 0.17650
15 15 0.069620 0.16080
16 16 0.072010 0.14650
17 15 0.074020 0.13350
18 15 0.075700 0.12160
19 15 0.077110 0.11080
20 15 0.078290 0.10100
21 15 0.079390 0.09200
22 16 0.080320 0.08383
23 18 0.081130 0.07638
24 20 0.082070 0.06960
25 20 0.083100 0.06341
26 21 0.083870 0.05778
27 21 0.084530 0.05265
28 22 0.085110 0.04797
29 22 0.085590 0.04371
30 22 0.086070 0.03983
31 22 0.086440 0.03629
32 23 0.086750 0.03306
33 22 0.087010 0.03013
34 21 0.087230 0.02745
35 24 0.087420 0.02501
36 23 0.087610 0.02279
37 23 0.087780 0.02077
38 23 0.087910 0.01892
39 23 0.088030 0.01724
40 23 0.088130 0.01571
41 22 0.088200 0.01431
42 22 0.088260 0.01304
43 23 0.088320 0.01188
44 23 0.088400 0.01083
45 23 0.088480 0.00986
46 24 0.088550 0.00899
47 25 0.088620 0.00819
48 26 0.088670 0.00746
49 26 0.088730 0.00680
50 27 0.088780 0.00620
51 27 0.088820 0.00564
52 29 0.088860 0.00514
53 29 0.088880 0.00469
54 29 0.088900 0.00427
55 29 0.088930 0.00389
56 29 0.088940 0.00354
57 29 0.088960 0.00323
58 32 0.088970 0.00294
59 32 0.088980 0.00268
60 33 0.089000 0.00244
61 33 0.089000 0.00223
62 35 0.089010 0.00203
63 37 0.089010 0.00185
64 38 0.089020 0.00168
65 38 0.089020 0.00154
66 39 0.089030 0.00140
67 41 0.089030 0.00127
68 41 0.089030 0.00116
69 42 0.089040 0.00106
70 42 0.089040 0.00096
71 42 0.089040 0.00088
72 43 0.089040 0.00080
73 43 0.089050 0.00073
74 43 0.089050 0.00066
75 43 0.089050 0.00061
76 43 0.089050 0.00055
77 43 0.089050 0.00050
