
Call:  glmnet(x = x, y = y, alpha = 0.02, family = "gaussian", standardize = FALSE) 

    Df     %Dev Lambda
1    0 0.000000 316.40
2    1 0.001250 288.30
3    1 0.002320 262.70
4    1 0.003234 239.30
5    1 0.004013 218.10
6    1 0.004676 198.70
7    1 0.005239 181.10
8    1 0.005715 165.00
9    2 0.006536 150.30
10   3 0.010930 137.00
11   3 0.015010 124.80
12   4 0.018880 113.70
13   5 0.022690 103.60
14   5 0.026210  94.40
15   5 0.029320  86.01
16   5 0.032050  78.37
17   5 0.034450  71.41
18   5 0.036550  65.07
19   6 0.038530  59.29
20   6 0.040630  54.02
21   7 0.042550  49.22
22   7 0.044350  44.85
23   7 0.045920  40.86
24   7 0.047280  37.23
25   7 0.048460  33.93
26   7 0.049480  30.91
27   7 0.050370  28.17
28   7 0.051130  25.66
29   7 0.051780  23.38
30   7 0.052350  21.31
31   9 0.053270  19.41
32   9 0.054260  17.69
33  11 0.055590  16.12
34  11 0.056890  14.69
35  12 0.058100  13.38
36  12 0.059250  12.19
37  13 0.060380  11.11
38  16 0.061580  10.12
39  18 0.062890   9.22
40  18 0.064160   8.40
41  19 0.065330   7.66
42  20 0.066420   6.98
43  21 0.067450   6.36
44  21 0.068560   5.79
45  21 0.069580   5.28
46  20 0.070510   4.81
47  20 0.071390   4.38
48  20 0.072210   3.99
49  20 0.072960   3.64
50  20 0.073690   3.31
51  22 0.074490   3.02
52  22 0.075250   2.75
53  23 0.075940   2.51
54  22 0.076580   2.29
55  23 0.077160   2.08
56  23 0.077710   1.90
57  25 0.078230   1.73
58  25 0.078690   1.57
59  24 0.079110   1.44
60  24 0.079480   1.31
61  26 0.079810   1.19
62  26 0.080140   1.08
63  26 0.080380   0.99
64  27 0.080660   0.90
65  28 0.080840   0.82
66  28 0.081070   0.75
67  29 0.081230   0.68
68  30 0.081390   0.62
69  30 0.081540   0.57
70  30 0.081660   0.52
71  30 0.081780   0.47
72  30 0.081880   0.43
73  31 0.081970   0.39
74  35 0.082060   0.36
75  37 0.082130   0.32
76  38 0.082210   0.30
77  39 0.082270   0.27
78  38 0.082320   0.24
79  40 0.082360   0.22
80  41 0.082400   0.20
81  42 0.082440   0.19
82  42 0.082470   0.17
83  46 0.082490   0.15
84  46 0.082510   0.14
85  46 0.082530   0.13
86  46 0.082550   0.12
87  47 0.082570   0.11
88  47 0.082580   0.10
89  48 0.082590   0.09
90  48 0.082600   0.08
91  48 0.082600   0.07
92  48 0.082610   0.07
93  48 0.082620   0.06
94  48 0.082620   0.06
95  48 0.082620   0.05
96  48 0.082630   0.05
97  48 0.082630   0.04
98  48 0.082630   0.04
99  48 0.082630   0.03
100 49 0.082640   0.03
