
Call:  glmnet(x = x, y = y, alpha = 0.3, family = "gaussian", standardize = FALSE) 

    Df     %Dev  Lambda
1    0 0.000000 18.4600
2    1 0.005873 16.8200
3    1 0.010790 15.3300
4    1 0.014890 13.9700
5    1 0.018330 12.7300
6    1 0.021190 11.5900
7    1 0.023580 10.5600
8    1 0.025580  9.6260
9    1 0.027240  8.7710
10   1 0.028630  7.9920
11   1 0.029790  7.2820
12   1 0.030750  6.6350
13   1 0.031550  6.0460
14   2 0.033050  5.5090
15   2 0.034700  5.0190
16   2 0.036070  4.5730
17   2 0.037210  4.1670
18   3 0.038240  3.7970
19   3 0.040370  3.4600
20   3 0.042150  3.1520
21   4 0.043990  2.8720
22   4 0.045860  2.6170
23   4 0.047430  2.3850
24   4 0.048730  2.1730
25   4 0.049820  1.9800
26   5 0.050730  1.8040
27   6 0.052460  1.6440
28   6 0.054040  1.4980
29   6 0.055360  1.3650
30   6 0.056480  1.2430
31   7 0.057470  1.1330
32   8 0.058880  1.0320
33   9 0.060260  0.9405
34  10 0.061510  0.8569
35  10 0.062680  0.7808
36   9 0.063440  0.7115
37   9 0.064020  0.6482
38  10 0.064520  0.5907
39  10 0.065030  0.5382
40  11 0.065660  0.4904
41  12 0.066890  0.4468
42  12 0.067910  0.4071
43  12 0.068750  0.3710
44  13 0.069480  0.3380
45  16 0.070370  0.3080
46  17 0.073280  0.2806
47  18 0.075700  0.2557
48  19 0.078140  0.2330
49  19 0.080560  0.2123
50  21 0.082620  0.1934
51  23 0.084740  0.1762
52  24 0.086590  0.1606
53  24 0.088240  0.1463
54  28 0.089690  0.1333
55  30 0.091320  0.1215
56  30 0.092730  0.1107
57  34 0.094130  0.1008
58  35 0.095380  0.0919
59  36 0.096550  0.0837
60  38 0.097740  0.0763
61  37 0.098640  0.0695
62  39 0.099560  0.0633
63  41 0.100400  0.0577
64  42 0.101100  0.0526
65  44 0.101800  0.0479
66  43 0.102400  0.0436
67  42 0.102900  0.0398
68  42 0.103200  0.0362
69  42 0.103600  0.0330
70  44 0.103900  0.0301
71  45 0.104300  0.0274
72  46 0.104500  0.0250
73  47 0.104800  0.0228
74  48 0.105000  0.0207
75  50 0.105100  0.0189
76  49 0.105500  0.0172
77  50 0.105600  0.0157
78  51 0.105700  0.0143
79  53 0.105800  0.0130
80  56 0.105900  0.0119
81  57 0.106000  0.0108
82  59 0.106100  0.0099
83  59 0.106200  0.0090
84  59 0.106300  0.0082
85  59 0.106300  0.0075
86  61 0.106400  0.0068
87  63 0.106400  0.0062
88  66 0.106500  0.0056
89  67 0.106500  0.0051
90  69 0.106500  0.0047
91  71 0.106600  0.0043
92  73 0.106600  0.0039
93  75 0.106600  0.0035
94  76 0.106600  0.0032
95  79 0.106700  0.0029
96  80 0.106700  0.0027
97  83 0.106700  0.0024
98  85 0.106700  0.0022
99  87 0.106700  0.0020
100 88 0.106700  0.0018
