
Call:  glmnet(x = x, y = y, alpha = 0.6, family = "gaussian", standardize = TRUE) 

   Df    %Dev  Lambda
1   0 0.00000 1.24500
2   1 0.01756 1.13500
3   3 0.03553 1.03400
4   3 0.05365 0.94190
5   3 0.06904 0.85830
6   3 0.08206 0.78200
7   3 0.09306 0.71250
8   3 0.10230 0.64920
9   5 0.11030 0.59160
10  6 0.11710 0.53900
11  6 0.12310 0.49110
12  6 0.12810 0.44750
13  7 0.13230 0.40770
14  7 0.13590 0.37150
15  9 0.13900 0.33850
16 10 0.14160 0.30840
17 10 0.14380 0.28100
18 10 0.14560 0.25610
19  9 0.14720 0.23330
20  9 0.14850 0.21260
21  9 0.14960 0.19370
22  9 0.15050 0.17650
23  9 0.15120 0.16080
24  9 0.15180 0.14650
25  9 0.15240 0.13350
26  9 0.15280 0.12170
27  9 0.15320 0.11080
28  9 0.15350 0.10100
29  9 0.15370 0.09203
30  9 0.15390 0.08385
31  9 0.15410 0.07640
32  9 0.15420 0.06962
33  9 0.15440 0.06343
34  9 0.15450 0.05780
35  9 0.15450 0.05266
36  9 0.15460 0.04798
37  9 0.15470 0.04372
38  9 0.15470 0.03984
39  9 0.15480 0.03630
40  9 0.15480 0.03307
41  9 0.15480 0.03014
42  9 0.15480 0.02746
43  9 0.15490 0.02502
44  9 0.15490 0.02280
45  9 0.15490 0.02077
46  9 0.15490 0.01893
47  9 0.15490 0.01724
48  9 0.15490 0.01571
49  9 0.15490 0.01432
50  9 0.15490 0.01304
51  9 0.15490 0.01189
52  9 0.15490 0.01083
53  9 0.15490 0.00987
54  9 0.15490 0.00899
55  9 0.15490 0.00819
56  9 0.15490 0.00746
57  9 0.15490 0.00680
