
Call:  glmnet(x = x, y = y, alpha = 0.45, family = "gaussian", standardize = FALSE) 

   Df     %Dev Lambda
1   0 0.000000 6.0300
2   1 0.000476 5.4940
3   1 0.000872 5.0060
4   1 0.001201 4.5610
5   2 0.001517 4.1560
6   2 0.004607 3.7870
7   2 0.007183 3.4500
8   1 0.009238 3.1440
9   2 0.011190 2.8650
10  2 0.012980 2.6100
11  2 0.014470 2.3780
12  2 0.015700 2.1670
13  2 0.016730 1.9740
14  2 0.017590 1.7990
15  3 0.018790 1.6390
16  3 0.021220 1.4940
17  3 0.023250 1.3610
18  3 0.024950 1.2400
19  3 0.026350 1.1300
20  3 0.027520 1.0290
21  3 0.028500 0.9380
22  3 0.029320 0.8547
23  3 0.030000 0.7787
24  3 0.030570 0.7096
25  3 0.031040 0.6465
26  3 0.031420 0.5891
27  5 0.032840 0.5368
28  6 0.036160 0.4891
29  6 0.044320 0.4456
30  6 0.051830 0.4060
31  8 0.058940 0.3700
32  8 0.067050 0.3371
33  8 0.074640 0.3072
34  8 0.081430 0.2799
35  9 0.087420 0.2550
36  9 0.092730 0.2323
37  9 0.097380 0.2117
38  9 0.101500 0.1929
39  9 0.105000 0.1758
40  9 0.108100 0.1601
41  9 0.110800 0.1459
42  9 0.113100 0.1330
43  9 0.115100 0.1211
44  9 0.116900 0.1104
45  9 0.118400 0.1006
46  9 0.119600 0.0916
47  9 0.120700 0.0835
48 10 0.121700 0.0761
49 11 0.122500 0.0693
50 12 0.123300 0.0632
51 12 0.124000 0.0576
52 12 0.124600 0.0524
53 12 0.125200 0.0478
54 12 0.125600 0.0435
55 12 0.126000 0.0397
56 12 0.126300 0.0362
57 12 0.126600 0.0329
58 12 0.126800 0.0300
59 12 0.127000 0.0273
60 12 0.127200 0.0249
61 12 0.127300 0.0227
62 13 0.127400 0.0207
63 16 0.127500 0.0188
64 16 0.127600 0.0172
65 16 0.127700 0.0156
66 16 0.127700 0.0143
67 16 0.127800 0.0130
68 16 0.127800 0.0118
69 16 0.127800 0.0108
70 16 0.127900 0.0098
71 16 0.127900 0.0090
72 16 0.127900 0.0082
73 16 0.127900 0.0074
74 16 0.127900 0.0068
75 16 0.127900 0.0062
76 16 0.128000 0.0056
77 16 0.128000 0.0051
78 16 0.128000 0.0047
79 16 0.128000 0.0043
80 16 0.128000 0.0039
81 16 0.128000 0.0035
82 16 0.128000 0.0032
83 16 0.128000 0.0029
84 17 0.128000 0.0027
85 17 0.128000 0.0024
86 19 0.128000 0.0022
87 19 0.128000 0.0020
88 19 0.128000 0.0018
89 20 0.128000 0.0017
90 20 0.128000 0.0015
