
Call:  glmnet(x = x, y = y, alpha = 0.55, family = "gaussian", standardize = TRUE) 

   Df     %Dev  Lambda
1   0 0.000000 1.01000
2   1 0.009822 0.92050
3   1 0.018360 0.83870
4   1 0.025750 0.76420
5   1 0.032130 0.69630
6   1 0.037620 0.63450
7   1 0.042330 0.57810
8   2 0.046560 0.52670
9   4 0.053460 0.47990
10  5 0.063050 0.43730
11  5 0.071590 0.39850
12  5 0.078810 0.36310
13  6 0.085280 0.33080
14  6 0.090870 0.30140
15  5 0.095560 0.27460
16  5 0.099400 0.25020
17  5 0.102600 0.22800
18  5 0.105300 0.20780
19  6 0.107600 0.18930
20  7 0.109600 0.17250
21  6 0.111300 0.15720
22  6 0.112700 0.14320
23  6 0.113900 0.13050
24  6 0.114900 0.11890
25  7 0.116300 0.10830
26  7 0.117600 0.09870
27  7 0.118600 0.08993
28  7 0.119500 0.08194
29  7 0.120300 0.07466
30  7 0.120900 0.06803
31  8 0.121500 0.06199
32 10 0.122200 0.05648
33 11 0.123000 0.05146
34 11 0.123700 0.04689
35 11 0.124300 0.04273
36 11 0.124800 0.03893
37 11 0.125200 0.03547
38 10 0.125600 0.03232
39 10 0.125900 0.02945
40 10 0.126100 0.02683
41 10 0.126300 0.02445
42 11 0.126500 0.02228
43 11 0.126600 0.02030
44 10 0.126800 0.01849
45 10 0.126900 0.01685
46 10 0.127000 0.01535
47 11 0.127000 0.01399
48 10 0.127200 0.01275
49 10 0.127300 0.01162
50 11 0.127400 0.01058
51 11 0.127500 0.00964
52 11 0.127600 0.00879
53 11 0.127600 0.00801
54 11 0.127700 0.00730
55 11 0.127700 0.00665
56 12 0.127800 0.00606
57 12 0.127800 0.00552
58 12 0.127800 0.00503
59 12 0.127900 0.00458
60 12 0.127900 0.00417
61 12 0.127900 0.00380
62 12 0.127900 0.00347
63 13 0.127900 0.00316
64 13 0.127900 0.00288
65 13 0.127900 0.00262
66 13 0.127900 0.00239
67 14 0.128000 0.00218
68 15 0.128000 0.00198
69 16 0.128000 0.00181
70 16 0.128000 0.00165
71 16 0.128000 0.00150
72 16 0.128000 0.00137
73 16 0.128000 0.00124
74 16 0.128000 0.00114
75 16 0.128000 0.00103
76 16 0.128000 0.00094
77 16 0.128000 0.00086
78 17 0.128000 0.00078
