
Call:  glmnet(x = x, y = y, alpha = 0.4, family = "gaussian", standardize = TRUE) 

   Df     %Dev  Lambda
1   0 0.000000 0.95800
2   2 0.004677 0.87290
3   3 0.010000 0.79540
4   4 0.015570 0.72470
5   5 0.020460 0.66030
6   7 0.025640 0.60170
7   7 0.031160 0.54820
8   8 0.035810 0.49950
9  13 0.039830 0.45510
10 13 0.043340 0.41470
11 13 0.046290 0.37790
12 16 0.048930 0.34430
13 17 0.051600 0.31370
14 18 0.053980 0.28580
15 19 0.056040 0.26050
16 19 0.058260 0.23730
17 19 0.060540 0.21620
18 20 0.062540 0.19700
19 20 0.064290 0.17950
20 21 0.065780 0.16360
21 24 0.067140 0.14900
22 23 0.068630 0.13580
23 22 0.069850 0.12370
24 22 0.070850 0.11270
25 23 0.071740 0.10270
26 26 0.072690 0.09360
27 26 0.073550 0.08529
28 26 0.074370 0.07771
29 27 0.075080 0.07081
30 26 0.075690 0.06452
31 26 0.076180 0.05878
32 27 0.076750 0.05356
33 28 0.077370 0.04880
34 28 0.077900 0.04447
35 28 0.078360 0.04052
36 27 0.078730 0.03692
37 27 0.079020 0.03364
38 27 0.079280 0.03065
39 30 0.079530 0.02793
40 31 0.079840 0.02545
41 32 0.080100 0.02319
42 32 0.080350 0.02113
43 33 0.080570 0.01925
44 35 0.080760 0.01754
45 36 0.080940 0.01598
46 36 0.081090 0.01456
47 37 0.081210 0.01327
48 38 0.081320 0.01209
49 38 0.081420 0.01102
50 38 0.081490 0.01004
51 39 0.081560 0.00914
52 39 0.081610 0.00833
53 39 0.081660 0.00759
54 41 0.081700 0.00692
55 42 0.081730 0.00630
56 42 0.081760 0.00574
57 43 0.081790 0.00523
58 44 0.081810 0.00477
59 47 0.081830 0.00434
60 50 0.081840 0.00396
61 54 0.081850 0.00361
62 55 0.081870 0.00329
63 57 0.081870 0.00300
64 57 0.081880 0.00273
65 58 0.081890 0.00249
66 58 0.081900 0.00226
67 59 0.081900 0.00206
68 59 0.081910 0.00188
69 60 0.081910 0.00171
70 61 0.081920 0.00156
71 61 0.081920 0.00142
72 62 0.081930 0.00130
73 63 0.081930 0.00118
74 63 0.081930 0.00108
75 63 0.081930 0.00098
76 63 0.081940 0.00089
77 65 0.081940 0.00081
78 65 0.081940 0.00074
79 66 0.081940 0.00068
80 66 0.081940 0.00062
81 66 0.081940 0.00056
