
Call:  glmnet(x = x, y = y, alpha = 0.9, family = "gaussian", standardize = FALSE) 

   Df     %Dev  Lambda
1   0 0.000000 2.79600
2   1 0.002785 2.54700
3   2 0.005422 2.32100
4   3 0.009475 2.11500
5   3 0.013590 1.92700
6   4 0.017100 1.75600
7   5 0.020430 1.60000
8   6 0.025010 1.45800
9   6 0.028940 1.32800
10  7 0.032460 1.21000
11  7 0.035440 1.10300
12  7 0.037920 1.00500
13  9 0.040150 0.91550
14 10 0.042730 0.83420
15 10 0.044980 0.76010
16 11 0.046870 0.69250
17 13 0.048760 0.63100
18 13 0.050770 0.57500
19 13 0.052430 0.52390
20 14 0.053810 0.47730
21 17 0.055230 0.43490
22 17 0.057030 0.39630
23 17 0.058490 0.36110
24 19 0.059730 0.32900
25 21 0.061040 0.29980
26 25 0.062390 0.27320
27 24 0.064190 0.24890
28 21 0.065750 0.22680
29 23 0.066760 0.20660
30 24 0.067880 0.18830
31 23 0.068800 0.17150
32 25 0.069710 0.15630
33 27 0.070800 0.14240
34 28 0.071750 0.12980
35 30 0.072670 0.11820
36 31 0.073800 0.10770
37 33 0.074700 0.09817
38 33 0.075830 0.08945
39 34 0.076700 0.08150
40 35 0.077470 0.07426
41 36 0.078170 0.06766
42 35 0.078750 0.06165
43 35 0.079260 0.05617
44 35 0.079680 0.05118
45 35 0.080030 0.04664
46 35 0.080330 0.04249
47 36 0.080580 0.03872
48 37 0.080790 0.03528
49 37 0.080970 0.03215
50 37 0.081120 0.02929
51 37 0.081250 0.02669
52 37 0.081350 0.02432
53 37 0.081430 0.02216
54 38 0.081510 0.02019
55 38 0.081570 0.01839
56 38 0.081630 0.01676
57 40 0.081670 0.01527
58 41 0.081710 0.01391
59 42 0.081740 0.01268
60 44 0.081770 0.01155
61 45 0.081800 0.01053
62 45 0.081820 0.00959
63 45 0.081840 0.00874
64 45 0.081850 0.00796
65 45 0.081860 0.00726
66 46 0.081870 0.00661
67 46 0.081890 0.00602
68 47 0.081890 0.00549
69 47 0.081900 0.00500
70 49 0.081910 0.00456
71 49 0.081910 0.00415
72 50 0.081910 0.00378
73 51 0.081920 0.00345
74 52 0.081920 0.00314
75 53 0.081920 0.00286
76 57 0.081930 0.00261
77 57 0.081930 0.00238
78 60 0.081930 0.00216
79 60 0.081930 0.00197
80 61 0.081930 0.00180
81 63 0.081940 0.00164
82 63 0.081940 0.00149
83 63 0.081940 0.00136
84 64 0.081940 0.00124
85 65 0.081940 0.00113
86 64 0.081940 0.00103
