
Call:  glmnet(x = x, y = y, alpha = 0.7, family = "gaussian", standardize = TRUE) 

   Df     %Dev  Lambda
1   0 0.000000 0.59960
2   1 0.006098 0.54630
3   3 0.012840 0.49780
4   5 0.020510 0.45360
5   4 0.027630 0.41330
6   5 0.034130 0.37660
7   5 0.040360 0.34310
8   8 0.046120 0.31260
9   8 0.051090 0.28490
10 10 0.055300 0.25950
11 13 0.059460 0.23650
12 14 0.063190 0.21550
13 16 0.066710 0.19630
14 17 0.069850 0.17890
15 16 0.072440 0.16300
16 16 0.074490 0.14850
17 18 0.076510 0.13530
18 19 0.078320 0.12330
19 20 0.079900 0.11240
20 19 0.081310 0.10240
21 18 0.082420 0.09328
22 17 0.083280 0.08499
23 17 0.083940 0.07744
24 18 0.084510 0.07056
25 20 0.085160 0.06429
26 21 0.085840 0.05858
27 23 0.086550 0.05338
28 23 0.087390 0.04863
29 24 0.088230 0.04431
30 28 0.089360 0.04038
31 29 0.090800 0.03679
32 31 0.092110 0.03352
33 31 0.093370 0.03054
34 32 0.094680 0.02783
35 32 0.095780 0.02536
36 32 0.096720 0.02311
37 34 0.097520 0.02105
38 37 0.098280 0.01918
39 38 0.099040 0.01748
40 38 0.099640 0.01593
41 39 0.100200 0.01451
42 40 0.100700 0.01322
43 41 0.101100 0.01205
44 42 0.101500 0.01098
45 45 0.101800 0.01000
46 46 0.102100 0.00911
47 48 0.102300 0.00830
48 50 0.102600 0.00757
49 52 0.102800 0.00689
50 52 0.103000 0.00628
51 52 0.103200 0.00572
52 52 0.103300 0.00522
53 52 0.103400 0.00475
54 52 0.103500 0.00433
55 52 0.103600 0.00394
56 51 0.103700 0.00359
57 52 0.103700 0.00328
58 53 0.103800 0.00298
59 55 0.103800 0.00272
60 56 0.103800 0.00248
61 56 0.103900 0.00226
62 57 0.103900 0.00206
63 57 0.103900 0.00187
64 58 0.103900 0.00171
65 60 0.103900 0.00156
66 63 0.103900 0.00142
67 68 0.104000 0.00129
68 69 0.104000 0.00118
69 72 0.104000 0.00107
70 71 0.104000 0.00098
71 74 0.104000 0.00089
72 77 0.104000 0.00081
73 77 0.104000 0.00074
74 79 0.104000 0.00067
75 81 0.104000 0.00061
76 81 0.104000 0.00056
77 84 0.104000 0.00051
78 85 0.104000 0.00046
79 85 0.104000 0.00042
80 84 0.104000 0.00039
81 83 0.104000 0.00035
82 84 0.104000 0.00032
83 86 0.104000 0.00029
84 86 0.104000 0.00027
85 86 0.104000 0.00024
