
Call:  glmnet(x = x, y = y, alpha = 1, family = "gaussian", standardize = TRUE) 

   Df    %Dev  Lambda
1   0 0.00000 0.54690
2   1 0.01151 0.49830
3   1 0.02107 0.45400
4   1 0.02900 0.41370
5   1 0.03559 0.37690
6   1 0.04105 0.34340
7   2 0.04586 0.31290
8   2 0.05020 0.28510
9   3 0.05386 0.25980
10  4 0.05857 0.23670
11  4 0.06274 0.21570
12  4 0.06620 0.19650
13  4 0.06908 0.17910
14  6 0.07163 0.16320
15  6 0.07378 0.14870
16  6 0.07557 0.13550
17  6 0.07706 0.12340
18  6 0.07829 0.11250
19  6 0.07932 0.10250
20  6 0.08016 0.09337
21  7 0.08091 0.08507
22  7 0.08153 0.07752
23  7 0.08205 0.07063
24  7 0.08249 0.06436
25  7 0.08285 0.05864
26  7 0.08315 0.05343
27  7 0.08339 0.04868
28  7 0.08360 0.04436
29  7 0.08377 0.04042
30  7 0.08391 0.03683
31  7 0.08403 0.03355
32  9 0.08414 0.03057
33 10 0.08426 0.02786
34 12 0.08442 0.02538
35 12 0.08461 0.02313
36 11 0.08478 0.02107
37 12 0.08491 0.01920
38 12 0.08502 0.01750
39 12 0.08513 0.01594
40 11 0.08522 0.01453
41 11 0.08528 0.01323
42 10 0.08534 0.01206
43 14 0.08539 0.01099
44 14 0.08544 0.01001
45 14 0.08550 0.00912
46 14 0.08554 0.00831
47 14 0.08557 0.00757
48 15 0.08560 0.00690
49 16 0.08562 0.00629
50 16 0.08565 0.00573
51 16 0.08566 0.00522
52 17 0.08568 0.00476
53 17 0.08569 0.00433
54 17 0.08570 0.00395
55 17 0.08571 0.00360
56 17 0.08572 0.00328
57 18 0.08573 0.00299
58 18 0.08573 0.00272
59 18 0.08574 0.00248
60 18 0.08574 0.00226
61 18 0.08574 0.00206
62 18 0.08575 0.00188
63 18 0.08575 0.00171
64 18 0.08575 0.00156
65 18 0.08575 0.00142
66 18 0.08575 0.00129
67 17 0.08575 0.00118
68 17 0.08575 0.00107
69 17 0.08575 0.00098
