
Call:  glmnet(x = x, y = y, alpha = 0.05, family = "gaussian", standardize = FALSE) 

    Df     %Dev Lambda
1    0 0.000000 78.990
2    1 0.002036 71.970
3    1 0.003777 65.580
4    1 0.005262 59.750
5    2 0.007568 54.450
6    3 0.010470 49.610
7    3 0.013270 45.200
8    4 0.015900 41.190
9    6 0.020010 37.530
10   8 0.024090 34.190
11   8 0.027820 31.160
12   8 0.030980 28.390
13   8 0.033660 25.870
14   8 0.035920 23.570
15   9 0.038000 21.470
16  10 0.040000 19.570
17  10 0.041730 17.830
18  11 0.043360 16.240
19  12 0.045080 14.800
20  13 0.046640 13.490
21  14 0.048110 12.290
22  17 0.049760 11.200
23  17 0.051420 10.200
24  20 0.053060  9.296
25  22 0.054720  8.470
26  24 0.056380  7.717
27  25 0.058430  7.032
28  26 0.060220  6.407
29  27 0.061830  5.838
30  28 0.063280  5.319
31  28 0.064590  4.847
32  30 0.065810  4.416
33  31 0.067060  4.024
34  32 0.068320  3.666
35  35 0.069680  3.341
36  38 0.070990  3.044
37  40 0.072200  2.774
38  43 0.073280  2.527
39  44 0.074530  2.303
40  44 0.075810  2.098
41  48 0.077190  1.912
42  55 0.078750  1.742
43  56 0.080490  1.587
44  56 0.082020  1.446
45  57 0.083470  1.318
46  59 0.084890  1.201
47  62 0.086140  1.094
48  61 0.087270  0.997
49  62 0.088340  0.908
50  62 0.089310  0.828
51  64 0.090180  0.754
52  66 0.090950  0.687
53  66 0.091600  0.626
54  69 0.092170  0.570
55  69 0.092700  0.520
56  69 0.093160  0.474
57  68 0.093540  0.432
58  68 0.093880  0.393
59  70 0.094200  0.358
60  72 0.094460  0.326
61  74 0.094700  0.297
62  75 0.094930  0.271
63  77 0.095120  0.247
64  78 0.095290  0.225
65  79 0.095430  0.205
66  80 0.095550  0.187
67  81 0.095620  0.170
68  81 0.095740  0.155
69  81 0.095810  0.141
70  84 0.095850  0.129
71  84 0.095910  0.117
72  86 0.095950  0.107
73  87 0.095990  0.097
74  88 0.096030  0.089
75  90 0.096060  0.081
76  92 0.096080  0.074
77  92 0.096100  0.067
78  93 0.096120  0.061
79  94 0.096140  0.056
80  94 0.096150  0.051
81  95 0.096160  0.046
82  96 0.096170  0.042
83  97 0.096180  0.038
84  97 0.096190  0.035
85  98 0.096200  0.032
86  98 0.096200  0.029
87 100 0.096210  0.026
88 101 0.096210  0.024
89 101 0.096220  0.022
90 102 0.096220  0.020
91 104 0.096220  0.018
92 104 0.096230  0.017
93 103 0.096230  0.015
94 103 0.096230  0.014
95 103 0.096230  0.013
96 104 0.096230  0.011
97 106 0.096230  0.010
98 105 0.096230  0.010
99 107 0.096240  0.009
