
Call:  glmnet(x = x, y = y, alpha = 0.2, family = "gaussian", standardize = TRUE) 

    Df     %Dev  Lambda
1    0 0.000000 1.61600
2    2 0.003223 1.47300
3    3 0.007460 1.34200
4    5 0.012730 1.22300
5    5 0.017870 1.11400
6    9 0.022830 1.01500
7   10 0.027870 0.92490
8   11 0.032260 0.84270
9   12 0.036190 0.76780
10  14 0.039590 0.69960
11  16 0.042800 0.63750
12  20 0.045730 0.58080
13  22 0.048480 0.52920
14  22 0.050930 0.48220
15  25 0.053180 0.43940
16  28 0.055340 0.40030
17  28 0.057410 0.36480
18  31 0.059380 0.33240
19  32 0.061430 0.30280
20  33 0.063240 0.27590
21  34 0.064890 0.25140
22  38 0.066480 0.22910
23  38 0.068070 0.20870
24  39 0.069860 0.19020
25  45 0.071610 0.17330
26  46 0.073660 0.15790
27  47 0.075460 0.14390
28  49 0.077200 0.13110
29  47 0.078670 0.11950
30  52 0.080080 0.10880
31  57 0.081470 0.09917
32  55 0.082870 0.09036
33  57 0.084130 0.08233
34  60 0.085360 0.07502
35  59 0.086480 0.06835
36  61 0.087540 0.06228
37  65 0.088500 0.05675
38  68 0.089350 0.05171
39  68 0.090130 0.04711
40  69 0.090810 0.04293
41  69 0.091450 0.03911
42  71 0.092000 0.03564
43  69 0.092560 0.03247
44  70 0.092990 0.02959
45  71 0.093390 0.02696
46  72 0.093740 0.02457
47  75 0.094040 0.02238
48  77 0.094370 0.02039
49  76 0.094610 0.01858
50  78 0.094840 0.01693
51  79 0.095030 0.01543
52  78 0.095210 0.01406
53  78 0.095350 0.01281
54  78 0.095490 0.01167
55  79 0.095600 0.01063
56  81 0.095680 0.00969
57  85 0.095760 0.00883
58  86 0.095820 0.00804
59  86 0.095880 0.00733
60  90 0.095930 0.00668
61  88 0.095970 0.00608
62  88 0.096010 0.00554
63  90 0.096040 0.00505
64  92 0.096060 0.00460
65  92 0.096100 0.00419
66  93 0.096110 0.00382
67  95 0.096130 0.00348
68  95 0.096150 0.00317
69  98 0.096160 0.00289
70  98 0.096170 0.00263
71  99 0.096180 0.00240
72  99 0.096190 0.00219
73 101 0.096200 0.00199
74 102 0.096200 0.00182
75 102 0.096210 0.00165
76 104 0.096210 0.00151
77 105 0.096220 0.00137
78 105 0.096220 0.00125
79 106 0.096220 0.00114
80 108 0.096230 0.00104
81 109 0.096230 0.00095
82 109 0.096230 0.00086
83 108 0.096230 0.00079
84 109 0.096230 0.00072
85 109 0.096230 0.00065
86 109 0.096230 0.00059
87 110 0.096240 0.00054
