
Call:  glmnet(x = x, y = y, alpha = 0.35, family = "gaussian", standardize = TRUE) 

    Df     %Dev  Lambda
1    0 0.000000 0.81090
2    2 0.003412 0.73890
3    4 0.006776 0.67320
4    8 0.011680 0.61340
5    9 0.016480 0.55890
6   11 0.021140 0.50930
7   14 0.025400 0.46400
8   17 0.029510 0.42280
9   20 0.033380 0.38520
10  21 0.037190 0.35100
11  24 0.040560 0.31980
12  25 0.043620 0.29140
13  24 0.046260 0.26550
14  26 0.048640 0.24190
15  27 0.050740 0.22050
16  28 0.052590 0.20090
17  29 0.054450 0.18300
18  30 0.056070 0.16680
19  32 0.057590 0.15190
20  39 0.059540 0.13840
21  40 0.061490 0.12610
22  42 0.063270 0.11490
23  43 0.065160 0.10470
24  44 0.066860 0.09543
25  47 0.068610 0.08695
26  49 0.070490 0.07923
27  49 0.072120 0.07219
28  51 0.073650 0.06577
29  57 0.075120 0.05993
30  62 0.076690 0.05461
31  66 0.078150 0.04976
32  69 0.079540 0.04534
33  70 0.080810 0.04131
34  73 0.082020 0.03764
35  74 0.082980 0.03429
36  78 0.083860 0.03125
37  77 0.084680 0.02847
38  84 0.085410 0.02594
39  89 0.086140 0.02364
40  88 0.086810 0.02154
41  92 0.087380 0.01962
42  95 0.087920 0.01788
43  96 0.088390 0.01629
44  99 0.088870 0.01485
45  99 0.089410 0.01353
46 104 0.089810 0.01232
47 104 0.090230 0.01123
48 106 0.090580 0.01023
49 109 0.090880 0.00932
50 114 0.091140 0.00850
51 117 0.091350 0.00774
52 118 0.091540 0.00705
53 117 0.091710 0.00643
54 122 0.091860 0.00586
55 121 0.091960 0.00534
56 123 0.092070 0.00486
57 126 0.092150 0.00443
58 127 0.092240 0.00404
59 131 0.092300 0.00368
60 132 0.092360 0.00335
61 135 0.092420 0.00305
62 135 0.092460 0.00278
63 140 0.092510 0.00254
64 143 0.092550 0.00231
65 146 0.092580 0.00210
66 150 0.092600 0.00192
67 154 0.092620 0.00175
68 161 0.092640 0.00159
69 167 0.092660 0.00145
70 171 0.092680 0.00132
71 174 0.092690 0.00120
72 174 0.092700 0.00110
73 176 0.092710 0.00100
74 178 0.092720 0.00091
75 184 0.092730 0.00083
76 189 0.092740 0.00076
77 195 0.092750 0.00069
78 203 0.092760 0.00063
79 205 0.092760 0.00057
80 208 0.092770 0.00052
81 211 0.092780 0.00047
82 215 0.092780 0.00043
83 215 0.092790 0.00039
84 218 0.092790 0.00036
85 223 0.092790 0.00033
86 222 0.092800 0.00030
87 224 0.092800 0.00027
88 223 0.092800 0.00025
89 227 0.092810 0.00023
90 230 0.092810 0.00021
91 228 0.092810 0.00019
92 238 0.092810 0.00017
93 237 0.092810 0.00016
94 238 0.092820 0.00014
95 245 0.092820 0.00013
96 248 0.092820 0.00012
97 250 0.092820 0.00011
98 252 0.092820 0.00010
99 254 0.092820 0.00009
