
Call:  glmnet(x = x, y = y, alpha = 0.9, family = "gaussian", standardize = FALSE) 

     Df     %Dev Lambda
1     0 0.000000 3.8670
2     1 0.001655 3.5240
3     2 0.003188 3.2110
4     2 0.005220 2.9260
5     2 0.006907 2.6660
6     2 0.008308 2.4290
7     2 0.009472 2.2130
8     4 0.011550 2.0170
9     5 0.014240 1.8370
10    6 0.016650 1.6740
11    6 0.019960 1.5250
12    9 0.022850 1.3900
13   10 0.026090 1.2660
14   11 0.029010 1.1540
15   11 0.031530 1.0510
16   11 0.033470 0.9580
17   12 0.035080 0.8729
18   12 0.037000 0.7954
19   12 0.038550 0.7247
20   12 0.039800 0.6603
21   14 0.041200 0.6017
22   15 0.042530 0.5482
23   17 0.043830 0.4995
24   20 0.045300 0.4551
25   22 0.047190 0.4147
26   24 0.049230 0.3779
27   28 0.051390 0.3443
28   31 0.053940 0.3137
29   32 0.056160 0.2858
30   33 0.058750 0.2604
31   35 0.061060 0.2373
32   35 0.063270 0.2162
33   36 0.065150 0.1970
34   40 0.067050 0.1795
35   45 0.068770 0.1636
36   46 0.070700 0.1490
37   51 0.072470 0.1358
38   54 0.074090 0.1237
39   55 0.075530 0.1127
40   61 0.077070 0.1027
41   64 0.078470 0.0936
42   65 0.080000 0.0853
43   63 0.081420 0.0777
44   68 0.082720 0.0708
45   69 0.083870 0.0645
46   72 0.084880 0.0588
47   70 0.085680 0.0536
48   75 0.086400 0.0488
49   79 0.087040 0.0445
50   81 0.087670 0.0405
51   80 0.088230 0.0369
52   80 0.088680 0.0336
53   84 0.089060 0.0306
54   84 0.089420 0.0279
55   86 0.089740 0.0254
56   92 0.090040 0.0232
57   93 0.090340 0.0211
58   97 0.090630 0.0192
59   98 0.090910 0.0175
60  100 0.091150 0.0160
61  105 0.091350 0.0146
62  108 0.091500 0.0133
63  109 0.091630 0.0121
64  109 0.091830 0.0110
65  112 0.091890 0.0100
66  117 0.092000 0.0091
67  120 0.092080 0.0083
68  125 0.092170 0.0076
69  128 0.092230 0.0069
70  133 0.092300 0.0063
71  132 0.092340 0.0057
72  136 0.092390 0.0052
73  138 0.092430 0.0048
74  139 0.092470 0.0043
75  141 0.092510 0.0040
76  144 0.092530 0.0036
77  151 0.092560 0.0033
78  155 0.092590 0.0030
79  160 0.092610 0.0027
80  164 0.092630 0.0025
81  171 0.092640 0.0023
82  176 0.092650 0.0021
83  187 0.092680 0.0019
84  191 0.092690 0.0017
85  191 0.092700 0.0016
86  192 0.092720 0.0014
87  193 0.092730 0.0013
88  200 0.092740 0.0012
89  196 0.092760 0.0011
90  201 0.092770 0.0010
91  206 0.092770 0.0009
92  209 0.092780 0.0008
93  211 0.092780 0.0007
94  215 0.092790 0.0007
95  217 0.092790 0.0006
96  220 0.092790 0.0006
97  223 0.092800 0.0005
98  225 0.092800 0.0005
99  228 0.092800 0.0004
100 230 0.092810 0.0004
