
Call:  glmnet(x = x, y = y, alpha = 0, family = "gaussian", standardize = FALSE) 

    Df    %Dev  Lambda
1   91 0.00000 2635.00
2   91 0.01771 2401.00
3   91 0.01867 2188.00
4   91 0.01965 1994.00
5   91 0.02063 1816.00
6   91 0.02163 1655.00
7   91 0.02263 1508.00
8   91 0.02362 1374.00
9   91 0.02462 1252.00
10  91 0.02561 1141.00
11  91 0.02660 1039.00
12  91 0.02757  947.10
13  91 0.02853  863.00
14  91 0.02948  786.30
15  91 0.03041  716.50
16  91 0.03132  652.80
17  91 0.03221  594.80
18  91 0.03308  542.00
19  91 0.03394  493.80
20  91 0.03477  450.00
21  91 0.03558  410.00
22  91 0.03636  373.60
23  91 0.03713  340.40
24  91 0.03787  310.10
25  91 0.03859  282.60
26  91 0.03929  257.50
27  91 0.03997  234.60
28  91 0.04063  213.80
29  91 0.04126  194.80
30  91 0.04188  177.50
31  91 0.04248  161.70
32  91 0.04306  147.30
33  91 0.04362  134.30
34  91 0.04417  122.30
35  91 0.04470  111.50
36  91 0.04522  101.60
37  91 0.04572   92.53
38  91 0.04621   84.31
39  91 0.04669   76.82
40  91 0.04715   70.00
41  91 0.04761   63.78
42  91 0.04806   58.11
43  91 0.04849   52.95
44  91 0.04892   48.25
45  91 0.04934   43.96
46  91 0.04975   40.06
47  91 0.05015   36.50
48  91 0.05055   33.26
49  91 0.05094   30.30
50  91 0.05132   27.61
51  91 0.05170   25.16
52  91 0.05208   22.92
53  91 0.05245   20.89
54  91 0.05282   19.03
55  91 0.05319   17.34
56  91 0.05357   15.80
57  91 0.05394   14.40
58  91 0.05432   13.12
59  91 0.05471   11.95
60  91 0.05510   10.89
61  91 0.05551    9.92
62  91 0.05592    9.04
63  91 0.05634    8.24
64  91 0.05680    7.51
65  91 0.05726    6.84
66  91 0.05774    6.23
67  91 0.05826    5.68
68  91 0.05880    5.17
69  91 0.05937    4.71
70  91 0.05997    4.29
71  91 0.06060    3.91
72  91 0.06128    3.57
73  91 0.06199    3.25
74  91 0.06274    2.96
75  91 0.06354    2.70
76  91 0.06438    2.46
77  91 0.06526    2.24
78  91 0.06620    2.04
79  91 0.06718    1.86
80  91 0.06820    1.69
81  91 0.06927    1.54
82  91 0.07039    1.41
83  91 0.07154    1.28
84  91 0.07274    1.17
85  91 0.07397    1.06
86  91 0.07522    0.97
87  91 0.07651    0.88
88  91 0.07781    0.80
89  91 0.07912    0.73
90  91 0.08044    0.67
91  91 0.08175    0.61
92  91 0.08305    0.55
93  91 0.08434    0.51
94  91 0.08560    0.46
95  91 0.08682    0.42
96  91 0.08801    0.38
97  91 0.08915    0.35
98  91 0.09024    0.32
99  91 0.09128    0.29
100 91 0.09226    0.26
