
Call:  glmnet(x = x, y = y, alpha = 0.01, family = "gaussian", standardize = FALSE) 

    Df     %Dev  Lambda
1    0 0.000000 263.500
2    2 0.001652 240.100
3    2 0.004041 218.800
4    2 0.006333 199.400
5    3 0.008586 181.600
6    4 0.011180 165.500
7    4 0.013740 150.800
8    4 0.016100 137.400
9    7 0.018530 125.200
10   9 0.021380 114.100
11  10 0.024000 103.900
12  10 0.026340  94.710
13  11 0.028460  86.300
14  12 0.030360  78.630
15  12 0.032140  71.650
16  12 0.033730  65.280
17  12 0.035140  59.480
18  14 0.036420  54.200
19  14 0.037610  49.380
20  14 0.038680  45.000
21  14 0.039670  41.000
22  14 0.040580  37.360
23  15 0.041440  34.040
24  14 0.042220  31.010
25  15 0.042930  28.260
26  15 0.043560  25.750
27  15 0.044120  23.460
28  16 0.044630  21.380
29  15 0.045090  19.480
30  17 0.045590  17.750
31  18 0.046150  16.170
32  19 0.046770  14.730
33  22 0.047520  13.430
34  22 0.048300  12.230
35  24 0.049080  11.150
36  24 0.049850  10.160
37  24 0.050590   9.253
38  24 0.051320   8.431
39  25 0.052020   7.682
40  25 0.052730   7.000
41  25 0.053430   6.378
42  28 0.054140   5.811
43  28 0.054910   5.295
44  29 0.055720   4.825
45  30 0.056510   4.396
46  32 0.057350   4.006
47  32 0.058220   3.650
48  33 0.059100   3.326
49  33 0.060020   3.030
50  33 0.060960   2.761
51  35 0.061940   2.516
52  36 0.062950   2.292
53  36 0.064010   2.089
54  37 0.065120   1.903
55  38 0.066250   1.734
56  38 0.067430   1.580
57  38 0.068640   1.440
58  37 0.069890   1.312
59  39 0.071170   1.195
60  40 0.072480   1.089
61  42 0.073820   0.992
62  43 0.075180   0.904
63  43 0.076550   0.824
64  45 0.077940   0.751
65  46 0.079330   0.684
66  46 0.080710   0.623
67  46 0.082080   0.568
68  47 0.083430   0.517
69  47 0.084750   0.471
70  47 0.086040   0.430
71  48 0.087290   0.391
72  49 0.088490   0.357
73  50 0.089630   0.325
74  51 0.090720   0.296
75  51 0.091750   0.270
76  50 0.092710   0.246
77  51 0.093610   0.224
78  51 0.094440   0.204
79  51 0.095200   0.186
80  51 0.095900   0.169
81  51 0.096540   0.154
82  51 0.097120   0.141
83  51 0.097630   0.128
84  51 0.098100   0.117
85  51 0.098510   0.106
86  51 0.098880   0.097
87  51 0.099200   0.088
88  51 0.099480   0.080
89  52 0.099730   0.073
90  52 0.099950   0.067
91  52 0.100100   0.061
92  52 0.100300   0.055
93  53 0.100400   0.051
94  53 0.100600   0.046
95  54 0.100700   0.042
96  54 0.100800   0.038
97  54 0.100800   0.035
98  54 0.100900   0.032
99  54 0.100900   0.029
100 54 0.101000   0.026
