
Call:  glmnet(x = x, y = y, alpha = 0.25, family = "gaussian", standardize = TRUE) 

   Df     %Dev  Lambda
1   0 0.000000 1.86200
2   1 0.005103 1.69600
3   1 0.009804 1.54600
4   1 0.014110 1.40800
5   1 0.018030 1.28300
6   1 0.021570 1.16900
7   2 0.026960 1.06500
8   5 0.033200 0.97070
9   7 0.040400 0.88450
10  8 0.047420 0.80590
11 10 0.053800 0.73430
12 12 0.059650 0.66910
13 13 0.064840 0.60960
14 15 0.069320 0.55550
15 15 0.073390 0.50610
16 17 0.076950 0.46120
17 17 0.080040 0.42020
18 17 0.082650 0.38290
19 17 0.084860 0.34890
20 17 0.086740 0.31790
21 17 0.088330 0.28960
22 17 0.089680 0.26390
23 17 0.090810 0.24050
24 18 0.091790 0.21910
25 17 0.092650 0.19960
26 19 0.093430 0.18190
27 20 0.094190 0.16570
28 20 0.094900 0.15100
29 22 0.095510 0.13760
30 23 0.096030 0.12540
31 24 0.096480 0.11420
32 26 0.096900 0.10410
33 27 0.097370 0.09484
34 26 0.097790 0.08642
35 25 0.098130 0.07874
36 27 0.098480 0.07174
37 30 0.098830 0.06537
38 30 0.099180 0.05956
39 30 0.099460 0.05427
40 30 0.099700 0.04945
41 30 0.099910 0.04506
42 29 0.100100 0.04105
43 29 0.100200 0.03741
44 28 0.100400 0.03408
45 28 0.100500 0.03106
46 29 0.100600 0.02830
47 30 0.100700 0.02578
48 30 0.100700 0.02349
49 31 0.100800 0.02141
50 30 0.100900 0.01950
51 29 0.100900 0.01777
52 29 0.101000 0.01619
53 31 0.101000 0.01475
54 32 0.101000 0.01344
55 32 0.101100 0.01225
56 32 0.101100 0.01116
57 33 0.101100 0.01017
58 35 0.101100 0.00927
59 35 0.101100 0.00844
60 35 0.101200 0.00769
61 36 0.101200 0.00701
62 38 0.101200 0.00639
63 39 0.101200 0.00582
64 40 0.101200 0.00530
65 41 0.101200 0.00483
66 42 0.101200 0.00440
67 43 0.101200 0.00401
68 43 0.101200 0.00366
69 43 0.101200 0.00333
70 43 0.101200 0.00303
71 44 0.101200 0.00276
72 45 0.101200 0.00252
73 45 0.101200 0.00230
74 45 0.101200 0.00209
75 45 0.101200 0.00191
76 45 0.101200 0.00174
77 45 0.101200 0.00158
78 46 0.101200 0.00144
