
Call:  glmnet(x = x, y = y, alpha = 0.25, family = "gaussian", standardize = TRUE) 

   Df     %Dev  Lambda
1   0 0.000000 1.65300
2   2 0.004957 1.50600
3   3 0.012050 1.37200
4   3 0.018680 1.25100
5   4 0.024980 1.13900
6   7 0.031500 1.03800
7   8 0.038620 0.94600
8   9 0.044820 0.86200
9  12 0.050560 0.78540
10 13 0.056070 0.71560
11 16 0.061090 0.65200
12 16 0.065650 0.59410
13 16 0.069530 0.54130
14 16 0.072850 0.49320
15 16 0.075690 0.44940
16 17 0.078160 0.40950
17 17 0.080290 0.37310
18 19 0.082150 0.34000
19 20 0.083800 0.30980
20 20 0.085210 0.28220
21 21 0.086440 0.25720
22 21 0.087510 0.23430
23 20 0.088400 0.21350
24 20 0.089150 0.19450
25 21 0.089790 0.17730
26 22 0.090340 0.16150
27 23 0.090870 0.14720
28 23 0.091320 0.13410
29 24 0.091720 0.12220
30 24 0.092080 0.11130
31 23 0.092390 0.10140
32 24 0.092640 0.09242
33 24 0.092850 0.08421
34 24 0.093040 0.07673
35 26 0.093270 0.06992
36 26 0.093490 0.06370
37 26 0.093670 0.05805
38 26 0.093830 0.05289
39 26 0.093960 0.04819
40 26 0.094080 0.04391
41 27 0.094180 0.04001
42 26 0.094260 0.03645
43 26 0.094320 0.03322
44 26 0.094380 0.03026
45 27 0.094430 0.02758
46 27 0.094470 0.02513
47 27 0.094500 0.02289
48 26 0.094530 0.02086
49 26 0.094550 0.01901
50 26 0.094580 0.01732
51 26 0.094590 0.01578
52 26 0.094610 0.01438
53 27 0.094620 0.01310
54 27 0.094630 0.01194
55 27 0.094640 0.01088
56 27 0.094650 0.00991
57 28 0.094650 0.00903
58 29 0.094660 0.00823
59 30 0.094660 0.00750
60 30 0.094670 0.00683
61 30 0.094670 0.00622
62 30 0.094680 0.00567
63 30 0.094680 0.00517
64 31 0.094680 0.00471
65 33 0.094680 0.00429
66 33 0.094680 0.00391
67 33 0.094680 0.00356
68 33 0.094690 0.00324
69 33 0.094690 0.00296
