
Call:  glmnet(x = x, y = y, alpha = 0.7, family = "gaussian", standardize = FALSE) 

   Df     %Dev  Lambda
1   0 0.000000 1.65600
2   4 0.003679 1.50900
3   4 0.007692 1.37500
4   4 0.011030 1.25300
5   4 0.013800 1.14100
6   4 0.016110 1.04000
7   5 0.019980 0.94750
8   6 0.024980 0.86330
9   6 0.029790 0.78660
10  6 0.032900 0.71680
11  9 0.036550 0.65310
12  8 0.041430 0.59510
13  8 0.045450 0.54220
14  8 0.048790 0.49400
15  8 0.051720 0.45010
16 11 0.054660 0.41020
17 12 0.058390 0.37370
18 13 0.061630 0.34050
19 13 0.064410 0.31030
20 14 0.066780 0.28270
21 16 0.069370 0.25760
22 16 0.072580 0.23470
23 17 0.075400 0.21390
24 17 0.077900 0.19490
25 19 0.080160 0.17750
26 18 0.081960 0.16180
27 18 0.083480 0.14740
28 18 0.084760 0.13430
29 18 0.085820 0.12240
30 19 0.086790 0.11150
31 19 0.087610 0.10160
32 22 0.088450 0.09257
33 20 0.089310 0.08435
34 21 0.090010 0.07686
35 21 0.090580 0.07003
36 20 0.091020 0.06381
37 22 0.091410 0.05814
38 22 0.091820 0.05297
39 22 0.092170 0.04827
40 22 0.092470 0.04398
41 22 0.092720 0.04007
42 23 0.093010 0.03651
43 24 0.093270 0.03327
44 24 0.093490 0.03031
45 25 0.093670 0.02762
46 26 0.093830 0.02517
47 26 0.093950 0.02293
48 26 0.094060 0.02089
49 25 0.094150 0.01904
50 26 0.094230 0.01735
51 27 0.094290 0.01581
52 27 0.094360 0.01440
53 27 0.094410 0.01312
54 27 0.094450 0.01196
55 27 0.094490 0.01089
56 27 0.094520 0.00993
57 26 0.094550 0.00904
58 26 0.094570 0.00824
59 28 0.094580 0.00751
60 28 0.094600 0.00684
61 30 0.094610 0.00623
62 30 0.094620 0.00568
63 30 0.094630 0.00518
64 30 0.094640 0.00472
65 33 0.094650 0.00430
66 33 0.094650 0.00392
67 33 0.094660 0.00357
68 34 0.094660 0.00325
69 35 0.094670 0.00296
70 34 0.094670 0.00270
71 34 0.094680 0.00246
72 34 0.094680 0.00224
73 34 0.094680 0.00204
74 34 0.094680 0.00186
75 34 0.094680 0.00170
76 34 0.094680 0.00154
77 34 0.094690 0.00141
78 34 0.094690 0.00128
