
Call:  glmnet(x = x, y = y, alpha = 0.95, family = "gaussian", standardize = FALSE) 

    Df     %Dev Lambda
1    0 0.000000 8.2990
2    1 0.003648 7.5620
3    1 0.006678 6.8900
4    1 0.009193 6.2780
5    1 0.011280 5.7200
6    1 0.013010 5.2120
7    1 0.014450 4.7490
8    1 0.015650 4.3270
9    1 0.016640 3.9430
10   1 0.017470 3.5930
11   1 0.018150 3.2730
12   1 0.018720 2.9830
13   1 0.019190 2.7180
14   1 0.019580 2.4760
15   1 0.019910 2.2560
16   1 0.020170 2.0560
17   1 0.020400 1.8730
18   1 0.020580 1.7070
19   1 0.020740 1.5550
20   1 0.020870 1.4170
21   1 0.020970 1.2910
22   1 0.021060 1.1760
23   1 0.021140 1.0720
24   1 0.021200 0.9767
25   2 0.024220 0.8899
26   2 0.027250 0.8108
27   2 0.029760 0.7388
28   2 0.031850 0.6732
29   2 0.033580 0.6134
30   2 0.035020 0.5589
31   3 0.036240 0.5092
32   3 0.039520 0.4640
33   3 0.042240 0.4228
34   3 0.044500 0.3852
35   3 0.046380 0.3510
36   3 0.047940 0.3198
37   3 0.049230 0.2914
38   3 0.050310 0.2655
39   4 0.051770 0.2419
40   4 0.054200 0.2204
41   4 0.056220 0.2009
42   4 0.057890 0.1830
43   4 0.059290 0.1668
44   4 0.060440 0.1519
45   5 0.061440 0.1384
46   6 0.062480 0.1261
47   6 0.063940 0.1149
48   7 0.065370 0.1047
49   8 0.067100 0.0954
50   9 0.068950 0.0869
51   9 0.070530 0.0792
52  10 0.072010 0.0722
53  10 0.073380 0.0658
54  11 0.074510 0.0599
55  11 0.075600 0.0546
56  11 0.076490 0.0498
57  11 0.077240 0.0453
58  12 0.077890 0.0413
59  12 0.078460 0.0376
60  12 0.078950 0.0343
61  14 0.079420 0.0312
62  13 0.080130 0.0285
63  13 0.080540 0.0259
64  13 0.080890 0.0236
65  13 0.081190 0.0215
66  13 0.081440 0.0196
67  14 0.081670 0.0179
68  14 0.082090 0.0163
69  13 0.082410 0.0148
70  14 0.082580 0.0135
71  15 0.082890 0.0123
72  16 0.083150 0.0112
73  16 0.083380 0.0102
74  15 0.083530 0.0093
75  15 0.083650 0.0085
76  15 0.083740 0.0077
77  16 0.083830 0.0071
78  17 0.083910 0.0064
79  17 0.083990 0.0059
80  17 0.084080 0.0053
81  17 0.084150 0.0049
82  16 0.084190 0.0044
83  16 0.084210 0.0040
84  16 0.084240 0.0037
85  17 0.084260 0.0034
86  19 0.084290 0.0031
87  20 0.084350 0.0028
88  20 0.084390 0.0025
89  20 0.084440 0.0023
90  20 0.084480 0.0021
91  20 0.084500 0.0019
92  20 0.084530 0.0017
93  20 0.084550 0.0016
94  20 0.084570 0.0014
95  20 0.084580 0.0013
96  20 0.084590 0.0012
97  20 0.084600 0.0011
98  20 0.084610 0.0010
99  20 0.084620 0.0009
100 20 0.084630 0.0008
