
Call:  glmnet(x = x, y = y, alpha = 0.02, family = "gaussian", standardize = TRUE) 

    Df     %Dev  Lambda
1    0 0.000000 23.3600
2    1 0.000727 21.2800
3    1 0.001503 19.3900
4    2 0.002529 17.6700
5    2 0.003985 16.1000
6    2 0.005531 14.6700
7    2 0.007168 13.3600
8    2 0.008895 12.1800
9    2 0.010710 11.1000
10   3 0.012770 10.1100
11   4 0.015160  9.2120
12  11 0.018120  8.3940
13  18 0.022170  7.6480
14  20 0.026560  6.9680
15  24 0.031010  6.3490
16  28 0.035530  5.7850
17  34 0.040030  5.2710
18  38 0.044490  4.8030
19  42 0.048860  4.3760
20  44 0.053160  3.9880
21  43 0.057310  3.6330
22  44 0.061260  3.3110
23  45 0.065020  3.0160
24  46 0.068590  2.7480
25  47 0.071970  2.5040
26  44 0.075180  2.2820
27  44 0.078150  2.0790
28  44 0.080950  1.8940
29  45 0.083670  1.7260
30  44 0.086190  1.5730
31  47 0.088620  1.4330
32  50 0.090880  1.3060
33  51 0.092960  1.1900
34  52 0.094880  1.0840
35  54 0.096660  0.9878
36  55 0.098280  0.9000
37  57 0.099740  0.8201
38  59 0.101100  0.7472
39  58 0.102300  0.6808
40  63 0.103400  0.6203
41  67 0.104400  0.5652
42  68 0.105300  0.5150
43  69 0.106200  0.4693
44  73 0.107000  0.4276
45  77 0.107700  0.3896
46  78 0.108300  0.3550
47  76 0.108900  0.3234
48  79 0.109500  0.2947
49  79 0.109900  0.2685
50  82 0.110400  0.2447
51  82 0.110800  0.2229
52  82 0.111100  0.2031
53  80 0.111500  0.1851
54  81 0.111700  0.1686
55  82 0.112000  0.1537
56  84 0.112200  0.1400
57  84 0.112400  0.1276
58  84 0.112600  0.1162
59  85 0.112700  0.1059
60  88 0.112900  0.0965
61  88 0.113000  0.0879
62  90 0.113100  0.0801
63  92 0.113200  0.0730
64  95 0.113300  0.0665
65  96 0.113400  0.0606
66  97 0.113400  0.0552
67  97 0.113500  0.0503
68  97 0.113600  0.0458
69  98 0.113600  0.0418
70  98 0.113700  0.0381
71  99 0.113700  0.0347
72  99 0.113700  0.0316
73 100 0.113700  0.0288
74 101 0.113800  0.0262
75 103 0.113800  0.0239
76 103 0.113800  0.0218
77 104 0.113800  0.0198
78 105 0.113800  0.0181
79 107 0.113800  0.0165
80 108 0.113900  0.0150
81 107 0.113900  0.0137
82 108 0.113900  0.0125
83 108 0.113900  0.0114
84 108 0.113900  0.0104
85 108 0.113900  0.0094
86 108 0.113900  0.0086
87 109 0.113900  0.0078
88 111 0.113900  0.0071
89 111 0.113900  0.0065
90 113 0.113900  0.0059
91 113 0.113900  0.0054
92 113 0.113900  0.0049
93 113 0.113900  0.0045
94 113 0.113900  0.0041
95 113 0.113900  0.0037
